arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
contest,113,48,23,15,196,0.57407,0.57040,0.53700,0.60653,0.49881,0.50760,0.71576,0.72516,0.21443,0.19337,0.48870,0.63923,0.51844,0.47260,0.53956,0.56673,0.51134,0.50103,0.45132,0.54865
contest,114,48,23,16,201,0.51387,0.52488,0.47733,0.45721,0.45546,0.49940,0.67513,0.59765,0.28878,0.25866,0.50127,0.56132,0.46358,0.40564,0.48888,0.47415,0.54116,0.62692,0.48263,0.38117
contest,115,48,22,16,191,0.58030,0.62968,0.53748,0.57401,0.51290,0.58507,0.61528,0.56272,0.33831,0.24299,0.53044,0.57282,0.50597,0.52360,0.53284,0.61868,0.59012,0.57523,0.42591,0.44145
contest,116,48,24,16,172,0.55799,0.51964,0.49181,0.55554,0.55185,0.47365,0.66768,0.58024,0.23018,0.20518,0.44871,0.50280,0.53998,0.58191,0.41214,0.48959,0.46320,0.51847,0.46718,0.34117
contest,117,48,23,13,191,0.57871,0.55576,0.48995,0.40266,0.48965,0.59255,0.71359,0.78308,0.28660,0.32848,0.51218,0.67323,0.46375,0.54113,0.59247,0.53412,0.43114,0.54798,0.57099,0.63573
contest,118,48,23,18,201,0.57419,0.70325,0.47878,0.45490,0.51193,0.40136,0.64759,0.63604,0.22414,0.23072,0.55685,0.73869,0.53490,0.49356,0.50893,0.50971,0.55677,0.38338,0.48989,0.51246
contest,119,48,23,14,176,0.49094,0.48236,0.49460,0.58727,0.48315,0.47524,0.64521,0.58296,0.31652,0.44616,0.48602,0.54443,0.44672,0.48345,0.60718,0.68189,0.56347,0.47153,0.51429,0.46222
contest,120,48,24,15,201,0.57657,0.46166,0.54207,0.56747,0.45472,0.41178,0.70011,0.71629,0.29606,0.32588,0.53929,0.63674,0.44563,0.45928,0.45545,0.46849,0.49562,0.59258,0.48342,0.43906
contest,121,48,24,17,187,0.47525,0.51709,0.58250,0.55389,0.55598,0.47976,0.66249,0.64181,0.31285,0.27499,0.46621,0.65557,0.46815,0.44031,0.44185,0.48358,0.46601,0.58299,0.48550,0.47017
contest,122,48,23,15,170,0.58241,0.48912,0.47544,0.60781,0.49767,0.57123,0.70797,0.71752,0.30376,0.26307,0.51643,0.52207,0.43098,0.48926,0.43239,0.40881,0.49340,0.47689,0.53334,0.61086
contest,123,48,23,14,184,0.60782,0.50879,0.50257,0.48325,0.50363,0.58954,0.67153,0.72472,0.36943,0.40812,0.54072,0.59693,0.56153,0.63265,0.56187,0.65341,0.57376,0.60414,0.45329,0.50889
contest,124,48,23,14,188,0.55314,0.44486,0.56255,0.51578,0.53989,0.47441,0.64475,0.42229,0.32666,0.38682,0.48007,0.59941,0.44778,0.20088,0.55492,0.51770,0.53742,0.70047,0.43162,0.46022
contest,125,48,24,13,173,0.58798,0.46539,0.53402,0.47746,0.46789,0.38185,0.69760,0.69197,0.29982,0.31681,0.48242,0.59253,0.45143,0.49331,0.55446,0.52552,0.49715,0.42687,0.54463,0.57365
contest,126,48,21,14,215,0.56295,0.54856,0.45466,0.55591,0.45110,0.53945,0.69580,0.54178,0.30013,0.21200,0.55229,0.71052,0.53659,0.54946,0.49301,0.44832,0.45980,0.29040,0.48453,0.53137
contest,127,48,23,16,188,0.58271,0.58414,0.50859,0.43198,0.54531,0.62816,0.55348,0.50430,0.29061,0.36882,0.50394,0.64258,0.53503,0.58119,0.45172,0.40332,0.57063,0.65785,0.50466,0.45753
contest,128,48,23,16,169,0.58299,0.52032,0.50820,0.61159,0.46764,0.40548,0.66210,0.67301,0.36369,0.24389,0.46829,0.51833,0.57560,0.63568,0.45625,0.46402,0.45926,0.52339,0.48387,0.48649
contest,129,48,23,16,186,0.48308,0.62845,0.54298,0.62667,0.49420,0.59114,0.67506,0.56961,0.35157,0.28243,0.48969,0.76913,0.44105,0.39855,0.54821,0.63610,0.46000,0.38098,0.48509,0.56849
contest,130,48,22,14,198,0.45914,0.45150,0.55771,0.58374,0.49589,0.43728,0.58097,0.56087,0.34989,0.36975,0.52599,0.61953,0.51570,0.44429,0.53468,0.56127,0.49435,0.42574,0.47634,0.51829
contest,131,48,23,16,202,0.57625,0.64023,0.55031,0.58679,0.53108,0.42767,0.52967,0.48735,0.27487,0.36759,0.55764,0.64890,0.45687,0.42569,0.52621,0.57457,0.48570,0.49416,0.50057,0.48394
contest,132,48,23,16,198,0.55995,0.60558,0.42733,0.50187,0.49801,0.61643,0.65345,0.61598,0.36452,0.35244,0.48797,0.56261,0.44582,0.40958,0.49208,0.58771,0.51219,0.60757,0.51035,0.55320
contest,133,48,24,13,186,0.58710,0.49713,0.50382,0.56321,0.44418,0.39955,0.57516,0.47904,0.36267,0.30466,0.48898,0.59346,0.49710,0.47182,0.58158,0.57089,0.44227,0.47303,0.46390,0.57441
contest,134,48,19,13,168,0.58585,0.54326,0.46091,0.45386,0.51796,0.53085,0.72285,0.72470,0.34881,0.37010,0.41955,0.46416,0.43681,0.45754,0.48844,0.55611,0.55580,0.59723,0.50048,0.43672
contest,135,48,23,13,191,0.52632,0.44501,0.44494,0.43289,0.46401,0.45101,0.67978,0.82477,0.30056,0.31433,0.52182,0.65654,0.43049,0.39102,0.48827,0.43177,0.57627,0.51584,0.52643,0.54831
contest,136,48,23,14,203,0.53376,0.49688,0.42077,0.39595,0.50014,0.58925,0.57865,0.40299,0.27728,0.45901,0.49462,0.64940,0.50803,0.54611,0.52680,0.48400,0.57432,0.60651,0.45646,0.41550
contest,137,48,23,17,194,0.54910,0.63082,0.51845,0.67435,0.49579,0.41706,0.59776,0.65451,0.37160,0.42244,0.52496,0.69553,0.51105,0.58579,0.48541,0.46690,0.53016,0.53905,0.51315,0.45382
contest,138,48,24,15,178,0.56520,0.63043,0.45257,0.60831,0.54333,0.53173,0.63554,0.61265,0.20019,0.25430,0.46958,0.65093,0.55307,0.63724,0.50661,0.45482,0.46928,0.43678,0.46970,0.44035
contest,139,48,23,18,215,0.61487,0.58759,0.48211,0.58124,0.47584,0.49434,0.64216,0.64419,0.27675,0.27527,0.46944,0.71194,0.51477,0.65948,0.50838,0.50185,0.51584,0.24174,0.49339,0.42148
contest,140,48,21,15,192,0.53705,0.54287,0.47863,0.51703,0.59502,0.57849,0.71064,0.62432,0.32138,0.22465,0.52762,0.58667,0.51997,0.64057,0.50255,0.58025,0.53701,0.65367,0.48225,0.43698
contest,141,48,23,14,176,0.52678,0.46654,0.53599,0.58693,0.54940,0.65745,0.59778,0.60399,0.24596,0.26265,0.54485,0.56334,0.56433,0.55651,0.54665,0.47047,0.42315,0.47025,0.54468,0.62341
