scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
scarcity,52,on,560950651584408393,0,13,17,86.9709,72.0000,275,275,1.000000,1.000000,2.228452,0.000000,1.451003,0.811881,0.000000
scarcity,53,off,3257012730696921764,0,13,17,79.2565,52.3750,271,271,1.000000,1.000000,2.215395,0.000000,1.712636,0.000000,0.000000
scarcity,53,on,16567432824677171820,0,12,16,79.4928,51.4375,285,285,1.000000,1.000000,2.225070,0.000000,1.730357,0.787732,0.000000
scarcity,54,off,14457225020677469447,0,12,16,76.1712,52.6250,207,207,1.000000,1.000000,2.196246,0.000000,1.349975,0.000000,0.000000
scarcity,54,on,2689249212166525347,0,12,16,76.2030,55.3750,212,212,1.000000,1.000000,2.190750,0.000000,1.346319,0.792131,0.000000
scarcity,55,off,17438615021989532422,0,14,18,81.8303,59.1875,298,298,1.000000,1.000000,2.139130,0.000000,1.518761,0.000000,0.000000
scarcity,55,on,12753135708089665926,0,15,19,82.2543,61.5625,315,315,1.000000,1.000000,2.152569,0.000000,1.458731,0.782503,0.000000
scarcity,56,off,17841893870961205409,0,9,13,70.2807,47.6875,200,200,1.000000,1.000000,2.270041,0.000000,1.515456,0.000000,0.000000
scarcity,56,on,17841893870961205409,0,9,13,70.2814,48.8750,211,211,1.000000,1.000000,2.215710,0.000000,1.530660,0.789948,0.000000
scarcity,57,off,2879262892671714868,0,13,17,72.9863,52.7500,201,201,1.000000,1.000000,2.193776,0.000000,1.500080,0.000000,0.000000
scarcity,57,on,599516405053982568,0,13,17,72.9954,53.8125,204,204,1.000000,1.000000,2.191082,0.000000,1.515232,0.761470,0.000000
scarcity,58,off,52653507813937463,0,17,21,83.8795,57.1875,279,279,1.000000,1.000000,2.247538,0.000000,1.373586,0.000000,0.000000
scarcity,58,on,3151347065023855403,0,17,21,83.9575,59.4375,280,280,1.000000,1.000000,2.203862,0.000000,1.379452,0.782487,0.000000
scarcity,59,off,14773024656160810626,0,13,17,79.5032,67.5000,282,282,1.000000,1.000000,2.242943,0.000000,1.420919,0.000000,0.000000
scarcity,59,on,13035087574792286114,0,13,17,79.4441,69.1250,297,297,1.000000,1.000000,2.224234,0.000000,1.412636,0.808803,0.000000
scarcity,60,off,13965043498620566733,0,14,18,86.0296,67.6250,269,269,1.000000,1.000000,2.244868,0.000000,1.585465,0.000000,0.000000
scarcity,60,on,13965043498620566733,0,14,18,86.0246,71.6875,276,276,1.000000,1.000000,2.216513,0.000000,1.588794,0.812296,0.000000
scarcity,61,off,855355546668204856,0,14,18,79.9302,52.3125,294,294,1.000000,1.000000,2.300411,0.000000,1.554688,0.000000,0.000000
scarcity,61,on,855355546668204856,0,14,18,79.9294,53.8750,291,291,1.000000,1.000000,2.300590,0.000000,1.547947,0.792321,0.000000
scarcity,62,off,10434651304544963371,0,11,15,76.9224,59.9375,231,231,1.000000,1.000000,2.304767,0.000000,1.401164,0.000000,0.000000
