schema=1
code_revision=0914369
scenario_id=p6-defense-calibration-regen2.25
scenario_layout_fingerprint=10343396763847525330
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-on,152,12615702608195878924,16,0,0.6853,2.3768,0.3468,0.5202,0.4558,0.5151,0.4907,0.4798,0.5198,0.4738,0.4958,0.5181,0.4799,0.5446,0.4823,0.9072,0.7990,0.3433,0.6560,0.5703
slope-on,153,3996728411269173807,33,0,0.6131,0.3193,0.1371,0.5266,0.5532,0.4301,0.4391,0.5366,0.5116,0.4906,0.5539,0.5269,0.5012,0.4868,0.4538,0.7835,0.9384,0.2065,0.3906,0.4801
slope-on,167,7819017721009528970,111,0,0.7239,5.9992,0.6191,0.5081,0.4874,0.5287,0.4525,0.4966,0.5232,0.5281,0.4984,0.4914,0.4810,0.4981,0.4945,0.2419,0.4570,0.1698,0.1673,0.4969
slope-on,176,11349922293473624129,136,0,0.6824,10.9703,0.2437,0.4955,0.5457,0.4400,0.5158,0.5068,0.5082,0.4822,0.5060,0.4804,0.4761,0.5171,0.5037,0.2886,0.8344,0.3104,0.6545,0.5032
slope-on,187,16993172792070244758,35,0,0.7156,1.4682,0.2200,0.5236,0.5199,0.4516,0.4565,0.6010,0.4935,0.5670,0.4700,0.4062,0.5057,0.4887,0.5510,0.2500,0.2751,0.0366,0.2668,0.4733
slope-on,193,9883865980028116930,305,0,0.5581,12.2794,0.4624,0.4946,0.5540,0.5280,0.4750,0.5362,0.5077,0.5609,0.4612,0.4907,0.4402,0.4562,0.4838,0.0983,0.5326,0.6852,0.6799,0.5081
slope-on,221,18274473943409498342,279,0,0.2667,5.2420,0.4235,0.5207,0.5075,0.4818,0.4968,0.5279,0.5046,0.5367,0.4914,0.4748,0.4992,0.4451,0.4553,0.2994,0.7298,0.1789,0.7413,0.5477
slope-on,228,9862608342477306501,4,0,0.1537,22.3007,0.4591,0.5234,0.5150,0.5124,0.5065,0.5533,0.5316,0.5560,0.5486,0.4406,0.4957,0.4325,0.4519,0.4973,0.6583,0.3743,0.4027,0.5905
slope-on,229,4107649090965116264,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,238,2273839567336841086,147,0,0.7070,0.1258,0.0243,0.5101,0.4570,0.5171,0.4639,0.5336,0.4544,0.5027,0.4964,0.4665,0.5473,0.4458,0.4911,0.1359,0.8950,0.2398,0.3310,0.5139
slope-on,243,16752229129946075699,120,0,0.6342,22.2871,0.5272,0.4443,0.5371,0.4959,0.5636,0.4680,0.4831,0.5020,0.5024,0.5412,0.5495,0.4829,0.5083,0.3419,0.7160,0.0368,0.6744,0.5576
