arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
growth,48,0.383829,-0.049707,0.077188,48,15,8960023985446824191
growth,49,0.273284,-0.038075,0.099822,48,17,17777500070116107385
growth,50,0.340606,-0.003634,0.082256,48,15,5628518427742554737
growth,51,0.295390,0.072699,0.071276,48,17,3493727690439210153
growth,52,0.316171,-0.056105,0.065715,48,15,14703046619300395759
growth,53,0.354481,-0.021374,0.137663,48,13,5124709064276415384
growth,54,0.335199,0.004123,0.142322,48,15,6285262691903146181
growth,55,0.332366,-0.059155,0.217828,48,19,14349869433034831901
growth,56,0.342304,-0.027903,0.066143,48,16,3071019146960162969
growth,57,0.419435,-0.045792,0.164921,48,17,254819964469624292
growth,58,0.283989,-0.046389,0.077953,48,19,4644120204266228854
growth,59,0.343790,-0.059526,0.298704,48,21,15280233706822345916
growth,60,0.294402,0.012911,0.023989,48,14,15732888498106173517
growth,61,0.314234,0.002389,0.113475,48,19,14628766127918421563
growth,62,0.280101,-0.009773,0.092121,48,17,9611473480414519165
growth,63,0.313694,-0.006783,0.089820,48,15,12867967912545455081
growth,64,0.302184,0.001387,0.156190,48,20,17113383334668902199
growth,65,0.312864,0.049616,0.084544,48,12,6240947918874320749
growth,66,0.296001,-0.079586,0.051860,48,13,10984750910448188535
growth,67,0.323590,-0.087122,0.191993,48,19,9202559540397959328
growth,68,0.293623,-0.034016,0.088320,48,14,6989285651108628709
growth,69,0.431069,-0.047257,0.147090,48,19,7466412816149475963
growth,70,0.337193,-0.114396,0.155594,48,17,12634718609818503512
growth,71,0.391679,0.007111,0.179773,48,18,6252438167235764068
growth,72,0.379311,-0.002997,0.131282,48,17,13519349209469462086
growth,73,0.387798,-0.109079,0.144461,48,18,8535884220726930871
growth,74,0.299576,-0.004430,0.032463,48,14,13097219532089678149
growth,75,0.421789,-0.004693,0.192373,48,19,7902332504267758917
growth,76,0.275750,0.022945,0.037719,48,14,3308494364201875825
growth,77,0.291250,0.030261,0.086553,48,19,15487646460841197354
growth,78,0.284838,0.072733,0.017514,48,13,9813673986366848313
growth,79,0.346315,-0.005028,0.090618,48,15,16752254156119214770
growth,80,0.338947,0.068150,0.122191,48,14,9491865782453478417
growth,81,0.344663,-0.040268,0.033048,48,13,12493349042788323386
growth,82,0.379721,-0.020746,0.085803,48,14,1373996534728420637
growth,83,0.359882,-0.040942,0.104471,48,16,1130975592260271845
growth,84,0.382446,-0.066570,0.078538,48,15,8421421248802100576
growth,85,0.278323,-0.046411,0.137225,48,18,15246189676549238608
growth,86,0.283606,-0.042394,0.109607,48,15,17468679029910679882
growth,87,0.307934,-0.018113,0.057122,48,15,6421289982141966791
growth,88,0.316333,-0.006743,0.134398,48,15,13773519109897960998
growth,89,0.372926,-0.029786,0.111631,48,16,13281591126349017253
growth,90,0.333389,0.004372,0.186069,48,19,11424543227510689320
growth,91,0.338061,-0.015829,0.126305,48,16,10831588711745594083
growth,92,0.365262,-0.070799,0.102192,48,14,10733219422999494055
growth,93,0.415021,-0.002973,0.180077,48,19,4264419194701058387
growth,94,0.315357,0.053158,0.088257,48,15,4663382843233395798
growth,95,0.329878,-0.004692,0.114354,48,15,17703203548258512301
growth,96,0.327908,0.054617,0.172772,48,20,15412563348664745296
growth,97,0.320959,-0.008778,0.056850,48,13,8500917139027329462
growth,98,0.349318,0.007885,0.125657,48,13,14060867338066975571
growth,99,0.309656,0.072694,0.049593,48,17,14867951961416168743
growth,100,0.295680,-0.037547,0.114252,48,15,17621591278262731984
growth,101,0.313924,-0.137471,0.123398,48,17,1956071410136925631
growth,102,0.259227,0.020546,0.059449,48,16,11035205815997838224
growth,103,0.422581,-0.053180,0.220272,48,18,16387560518391801710
growth,104,0.318525,-0.078523,0.118716,48,17,12265198726131252950
growth,105,0.316031,-0.080751,0.071062,48,14,7925332982528377233
growth,106,0.335786,-0.050226,0.099219,48,17,2590472554050449376
growth,107,0.323840,0.039750,0.054317,48,12,14750787926129728334
growth,108,0.297778,0.020433,0.043524,48,14,16759785214130698052
growth,109,0.306279,-0.033062,0.089341,48,12,10142074530505295805
growth,110,0.305076,-0.022330,0.059969,48,16,13289936363382165520
growth,111,0.258291,0.004184,0.046836,48,13,5880955505381008058
growth,112,0.403438,0.086727,0.141057,48,17,11998959185332330263
growth,113,0.388307,0.012555,0.165769,48,19,12484019629537133422
growth,114,0.317198,-0.002045,0.040350,48,15,3165689331208518200
growth,115,0.367268,-0.048595,0.169413,48,17,1735922043644875333
growth,116,0.319324,0.054461,0.084977,48,16,16437209962525975639
growth,117,0.356075,-0.021217,0.194948,48,20,15995186245562442002
growth,118,0.348800,-0.063921,0.149274,48,16,7734985553938793366
growth,119,0.268139,0.048002,0.108259,48,15,6485167532741784304
growth,120,0.379129,0.021130,0.169289,48,15,13929719228462886764
growth,121,0.290664,0.010836,0.052097,48,11,6398748326267768193
growth,122,0.280832,-0.003396,0.176983,48,19,6803435988392948149
growth,123,0.331853,-0.083607,0.138077,48,16,1358214166851670195
growth,124,0.415924,0.019153,0.179074,48,18,17865834179525676704
growth,125,0.309111,-0.154989,0.209918,48,20,9214902167201537259
growth,126,0.368920,0.033584,0.122540,48,15,3936606990099079811
growth,127,0.315322,0.022483,0.135755,48,19,9153969376659280363
growth,128,0.380112,0.003603,0.118286,48,19,13739067141056286861
growth,129,0.397799,0.029732,0.134448,48,15,3664643268348476157
growth,130,0.322012,0.018507,0.080771,48,12,12394690306955245774
growth,131,0.276011,0.035067,0.055187,48,19,7500394519095762508
growth,132,0.283425,0.009169,0.072979,48,17,13089772664918567742
growth,133,0.361897,0.062935,0.122385,48,16,12746998481962401059
growth,134,0.267614,-0.065204,0.070701,48,16,16310124944033273845
growth,135,0.335667,0.004389,0.110838,48,15,11495517252844343675
growth,136,0.346491,-0.054803,0.163340,48,22,14726116782666537270
growth,137,0.314987,-0.003746,0.121899,48,20,14564038807904642654
growth,138,0.357496,-0.024586,0.174270,48,19,9566233964318074322
growth,139,0.318851,-0.003891,0.081080,48,16,10558728572057007661
growth,140,0.339021,0.045187,0.137197,48,23,18332221708252976759
growth,141,0.308522,0.045607,0.027865,48,14,2861831706144187139
growth,142,0.366511,-0.045229,0.085274,48,15,9943015359242498991
growth,143,0.342990,-0.010939,0.141369,48,14,7081351528526171273
growth,144,0.326825,0.023212,0.066387,48,14,15948709621951737691
growth,145,0.327774,0.009703,0.062781,48,17,13537602516840274740
growth,146,0.321275,0.031988,0.096290,48,14,17768886734294702825
growth,147,0.345197,-0.008730,0.083303,48,17,10788806712935591064
growth,148,0.343747,-0.058262,0.077425,48,15,971803529128339503
growth,149,0.286751,-0.002548,0.050056,48,14,7383765691522811661
growth,150,0.362653,-0.123444,0.141019,48,19,777549008766356263
growth,151,0.303987,0.086751,0.130265,48,14,2935546870567568033
growth,152,0.265385,-0.018063,0.053976,48,13,16519853001385343537
growth,153,0.367715,-0.017344,0.174883,48,19,3814733875526080155
growth,154,0.316312,-0.046845,0.063178,48,17,456485593840692004
growth,155,0.415255,-0.068076,0.140754,48,18,17612416333101352679
growth,156,0.356712,0.058310,0.190019,48,21,3156352832447346222
growth,157,0.277070,-0.015764,0.146887,48,19,5708913851648181417
growth,158,0.375246,0.035781,0.133866,48,16,14411502947158242600
growth,159,0.298711,0.010371,0.126647,48,18,15370253502153328024
growth,160,0.287463,-0.017857,0.055825,48,15,982208285378533483
growth,161,0.309320,-0.009749,0.059599,48,17,7962191408582966167
nutrition,42,0.354078,-0.042207,0.118856,48,16,3003819277116570942
nutrition,43,0.358401,-0.084180,0.170978,48,19,155241772986304484
nutrition,44,0.326221,-0.057788,0.077608,48,15,17875240076340599977
nutrition,45,0.319700,-0.045656,0.100415,48,16,12089250227964684568
nutrition,46,0.297270,0.005718,0.068406,48,16,15947553813552640977
nutrition,47,0.386499,-0.059585,0.233117,48,16,8643171374829397740
nutrition,48,0.289507,0.018820,0.055470,48,17,10739424704012765074
nutrition,49,0.309605,0.002037,0.166094,48,16,7131068222233094478
nutrition,50,0.316709,0.043900,0.085376,48,15,7082203575107400573
nutrition,51,0.396016,-0.003306,0.197037,48,20,16308096129322410114
nutrition,52,0.300451,-0.027403,0.119950,48,15,7785238224045327813
nutrition,53,0.370301,0.004590,0.122299,48,16,8823052565430900194
nutrition,54,0.342159,-0.000793,0.157310,48,15,9304232752019963304
nutrition,55,0.315987,0.010049,0.113341,48,15,1483304995571387509
nutrition,56,0.383935,-0.001417,0.205948,48,17,10822962803170641130
nutrition,57,0.433467,-0.019310,0.146062,48,16,16111281780319329060
nutrition,58,0.337917,0.049373,0.071960,48,15,7766992097213846793
nutrition,59,0.349533,0.029923,0.112286,48,17,2156437334533162679
nutrition,60,0.278880,-0.003915,0.044355,48,15,7658393016952941792
nutrition,61,0.341811,0.001152,0.095975,48,19,14387616002473149440
nutrition,62,0.364762,0.019745,0.171579,48,18,8541158979210553167
nutrition,63,0.334006,-0.013941,0.089063,48,16,15498308506999067464
nutrition,64,0.320504,0.044350,0.133070,48,15,12748846598635036927
nutrition,65,0.346112,0.063748,0.162629,48,16,5703452557716146924
nutrition,66,0.327273,-0.031497,0.068604,48,16,14107768729033832838
nutrition,67,0.372304,0.009864,0.188860,48,17,8251741203889971395
nutrition,68,0.311783,0.045497,0.144989,48,16,5916660502838079159
nutrition,69,0.325977,-0.053270,0.115966,48,18,2735487942055944655
nutrition,70,0.318517,0.005561,0.076451,48,14,12472222947634563319
nutrition,71,0.322772,0.094692,0.176218,48,18,12337683998021005316
nutrition,72,0.331295,0.069426,0.085272,48,19,7073933801100907780
nutrition,73,0.370890,-0.046203,0.187600,48,20,16709458880625153268
nutrition,74,0.291300,-0.061949,0.083984,48,18,7662435331795610207
nutrition,75,0.353247,-0.073502,0.093419,48,17,6817691819759690123
nutrition,76,0.268305,-0.005287,0.053123,48,16,7253180073371766551
nutrition,77,0.328847,-0.009638,0.141369,48,16,2619694753943324936
nutrition,78,0.278400,-0.026009,0.111038,48,14,12894557173611073516
nutrition,79,0.398688,0.014375,0.167078,48,19,6249275048299072826
nutrition,80,0.358613,-0.021488,0.063775,48,17,7199431802298493517
nutrition,81,0.372136,-0.145459,0.144168,48,20,7354724495246705952
nutrition,82,0.394448,-0.048566,0.226491,48,18,620800796150071187
nutrition,83,0.330688,-0.012014,0.096397,48,17,5231327346020971536
nutrition,84,0.399033,0.041689,0.137557,48,16,5764121293834078486
nutrition,85,0.407846,-0.028699,0.154177,48,19,1975945507709447193
nutrition,86,0.240994,-0.090227,-0.008886,48,15,1489302839558593992
nutrition,87,0.312777,0.021865,0.093894,48,18,1867137716821104144
nutrition,88,0.269962,-0.052532,0.054998,48,14,8979347355690980773
nutrition,89,0.335031,0.011708,0.087071,48,15,11603285569763322112
nutrition,90,0.336662,-0.052732,0.075276,48,16,2132482439754471811
nutrition,91,0.308968,-0.046095,0.082610,48,16,13391668103775957683
nutrition,92,0.375842,0.062649,0.083814,48,16,3055918618725588089
nutrition,93,0.378362,0.054463,0.103192,48,15,18286203878121621589
nutrition,94,0.261182,0.003097,0.021514,48,14,2105501964685229472
nutrition,95,0.408551,0.004506,0.172471,48,16,11146745425981495799
nutrition,96,0.313899,0.043824,0.147211,48,17,11076390746031849545
nutrition,97,0.316447,0.024347,0.113021,48,15,695541329511909925
nutrition,98,0.303594,0.013126,0.060824,48,14,6326271331841237742
nutrition,99,0.254480,0.064962,0.023791,48,15,7021101285587532955
nutrition,100,0.332960,0.019616,0.120862,48,18,16431301318809674710
nutrition,101,0.315109,0.023379,0.105053,48,15,2481286520732541910
nutrition,102,0.320057,0.081785,0.099690,48,15,3021989562107669407
nutrition,103,0.375560,-0.056112,0.185231,48,14,9973912521375857545
nutrition,104,0.344687,-0.024872,0.135430,48,17,6412102091407933410
nutrition,105,0.323601,-0.050796,0.094853,48,17,15321641335051065451
nutrition,106,0.343974,0.020332,0.138294,48,19,12623902022134773321
nutrition,107,0.333669,-0.041791,0.098376,48,18,5775128351658518526
nutrition,108,0.339193,0.043738,0.091495,48,16,14868670387059931315
nutrition,109,0.355797,-0.005233,0.098829,48,16,2188365612657181913
nutrition,110,0.283689,-0.025092,0.107750,48,16,11755949835366796228
nutrition,111,0.361974,-0.049522,0.137998,48,17,10761551911233199218
nutrition,112,0.348953,-0.031916,0.142352,48,18,11010605785898971204
nutrition,113,0.336726,-0.069068,0.089364,48,17,11846901840750728905
nutrition,114,0.382100,-0.003594,0.113576,48,18,10048984536260795978
nutrition,115,0.283235,0.013858,0.045555,48,15,10808156501798474525
nutrition,116,0.307371,-0.017607,0.036772,48,15,15121934834921847614
nutrition,117,0.316539,-0.028105,0.103993,48,17,5589769424428594113
nutrition,118,0.323149,-0.039730,0.144196,48,19,5613095981192696353
nutrition,119,0.316006,0.014921,0.096644,48,19,3019737312931258821
nutrition,120,0.337194,-0.056727,0.205361,48,17,17046453318326135449
nutrition,121,0.339027,0.079305,0.235761,48,21,12151226000402771009
nutrition,122,0.298309,0.021504,0.043047,48,14,15949643368388803706
nutrition,123,0.345772,-0.008971,0.084388,48,18,18159094481162496540
nutrition,124,0.320011,-0.016683,0.129963,48,15,16113980923425199204
nutrition,125,0.312698,-0.029439,0.053243,48,14,10928616942820264137
nutrition,126,0.343150,0.069420,0.146841,48,20,17466056593792258474
nutrition,127,0.327694,-0.065226,0.161696,48,15,11434677984624664420
nutrition,128,0.292995,-0.017651,0.124805,48,16,10021990785534462680
nutrition,129,0.302339,-0.034717,0.119023,48,16,7051725273054778462
nutrition,130,0.349558,0.065156,0.122131,48,19,16386100094840555363
nutrition,131,0.326952,0.001831,0.139757,48,18,14914518060358866444
nutrition,132,0.328745,0.056297,0.091160,48,15,9128252846904149628
nutrition,133,0.327641,-0.029442,0.120956,48,17,13438292411392539388
nutrition,134,0.299219,-0.050551,0.106796,48,14,3410811802626816904
nutrition,135,0.326751,0.023351,0.039707,48,15,12631291432760943861
nutrition,136,0.312258,-0.041543,0.108356,48,14,1910177400576213795
nutrition,137,0.270636,0.054909,-0.017247,48,15,8911568085812402366
nutrition,138,0.315262,-0.015538,0.126757,48,16,14122913127994617954
nutrition,139,0.366682,-0.020008,0.160514,48,19,13909820808705036116
nutrition,140,0.314273,-0.041652,0.115288,48,19,658102171320000114
nutrition,141,0.308680,0.045801,0.038913,48,14,935452936200472044
nutrition,142,0.314191,-0.013660,0.140825,48,14,1057511074050285972
nutrition,143,0.369428,-0.031744,0.136804,48,16,9987443115312049164
nutrition,144,0.293902,0.057382,0.140200,48,15,284367320477150733
nutrition,145,0.380536,0.068577,0.107474,48,16,12688569173130818892
nutrition,146,0.336002,-0.030368,0.111849,48,15,10225820836822179293
nutrition,147,0.281110,0.045119,0.082084,48,15,5477796530298626180
nutrition,148,0.357186,-0.094600,0.116312,48,16,4601506085562476868
nutrition,149,0.348696,-0.020022,0.164340,48,17,16977608076461396835
nutrition,150,0.464899,-0.007165,0.231338,48,21,1930070560152062386
nutrition,151,0.291676,0.000797,0.140526,48,17,6821784962749261042
nutrition,152,0.347344,0.007728,0.073276,48,16,2389287893968112615
nutrition,153,0.340780,-0.013575,0.153632,48,16,2670917465885645541
nutrition,154,0.353277,0.027706,0.116016,48,17,8211921946369250049
nutrition,155,0.350426,0.003162,0.112353,48,20,8903448943231307985
nutrition,156,0.295423,0.028988,0.032213,48,15,13586991867289788856
nutrition,157,0.311265,0.039870,0.106852,48,16,11365137073170844356
nutrition,158,0.391345,-0.017112,0.154061,48,15,1852697176528090551
nutrition,159,0.281034,0.025187,0.054650,48,17,10303522481229522726
nutrition,160,0.370570,-0.000225,0.099939,48,17,15745610847001226764
nutrition,161,0.320914,-0.010948,0.110618,48,15,10501106540314040749
defense,42,0.322613,-0.038528,0.097137,48,18,6292673784091835286
defense,43,0.294306,-0.006913,0.117874,48,15,12964090154491418038
defense,44,0.325519,0.023778,0.143731,48,18,11402136091146010804
defense,45,0.262286,-0.054897,0.020760,48,15,11003078874406504693
defense,46,0.296347,0.106042,0.085232,48,17,4386017380659043524
defense,47,0.396263,0.004598,0.202635,48,21,5167318550592343442
