MANIPULATION hashes differed 120/120
MANIPULATION mate-seek decision-ticks off=5520825 on=6223462 delta=12.73%
MANIPULATION flee decision-ticks off=5752666 on=4270468 delta=-25.77%
EXTINCT off=75/120 on=66/120
BIRTHS mean off=279.56 on=292.37 delta=12.808 t=2.04 up=72 down=48 tied=0

# schema=1
# code_revision=ZZZ probe at head 71624ff
# scenario_id=p4-watchable-starter-habitat
# scenario_layout_fingerprint=12748958029872398774
# scenario_resource_count=4
# first_seed=42
# seed_count=120
# ticks=12000
# WorldSeed=42
# InitialPopulation=12
# MaximumPopulation=84
# FounderProfile=PredationVariation
# DecisionPolicyVersion=IntentUtilityV1
# BaseFrequencyHz=20
# CognitionEnabled=true
# PhysiologyEnabled=true
# PlantCohortsEnabled=true
# PredationEconomicsEnabled=false
# ForagingEconomicsEnabled=false
# DecisionStaggerEnabled=false
# MultiThreatPerceptionEnabled=false
# RestBehaviorEnabled=false
# JuvenileCapabilityEnabled=false
# ParentalFollowingEnabled=false
# KinRecognitionEnabled=false
# LearnedResourceQualityEnabled=false
# MateSelectionEnabled=true
# PlantSiteCompetitionEnabled=false
# PlantMortalityEnabled=false
# PlantDefenseDeterrenceEnabled=false
# PlantQualityPreferenceEnabled=false
# PlantTemperatureAdaptationEnabled=false
# PlantFertilityAdaptationEnabled=false
# ProceduralEnvironmentFieldsEnabled=false
# ElevationFieldEnabled=false
# PlantEstablishmentContestEnabled=false
# PlantInvaderEstablishmentContestEnabled=false
# PlantSeedProductionRateEnabled=false
# SafetyGatedMateRendezvousEnabled=false
# HomeRangeAffinityEnabled=false
# PlantSeedProductionRateDispersalCharge=2
# PlantDefenseDeterrenceStrength=0.75
# ThreatFalloffDistance=10
arm,seed,births,deaths,predation_deaths,starvation_deaths,final_population,mate_seek_ticks,flee_ticks,creature_ticks,state_hash
gate-on,121,287,298,7,25,1,35190,55895,572399,17430413511314087148
gate-off,122,270,282,5,23,0,37800,44410,532943,17576759933107766612
gate-on,122,307,319,0,42,0,46060,15800,596788,11748516722196537603
gate-off,123,352,362,1,31,2,92100,12075,694095,3182699922505625422
gate-on,123,265,277,7,23,0,48940,23080,531788,2306474322327906953
gate-off,124,328,340,7,27,0,55120,39795,648683,16048512459389947168
gate-on,124,272,284,2,34,0,37370,19430,535618,7110350540630979161
gate-off,125,314,325,6,32,1,39250,32225,634894,1232850865012562520
gate-on,125,410,338,0,0,84,111099,6690,756542,11004960221238847164
gate-off,126,253,265,9,13,0,23860,55160,490778,3126549215610265228
gate-on,126,313,325,0,26,0,75680,9700,627918,4972255998552352787
gate-off,127,309,282,2,5,39,26440,56532,610967,12397078680182787523
gate-on,127,290,302,6,22,0,36630,53290,588138,18422629639551813698
gate-off,128,277,284,8,22,5,37810,58585,557633,4155626491323571734
gate-on,128,339,267,1,0,84,84271,24161,622512,5864617240273664799
gate-off,129,340,352,1,32,0,59490,15715,670243,13874519343388446820
gate-on,129,329,341,1,33,0,61090,21950,649308,6456031365965229576
gate-off,130,256,268,9,24,0,30770,80610,501668,13952934009363212969
gate-on,130,251,230,14,3,33,24450,95696,491736,5061907195805474864
gate-off,131,122,99,0,0,35,4224,37394,219743,8638134604366021284
gate-on,131,288,300,9,20,0,40140,49230,564113,2094385935862124545
gate-off,132,257,269,8,17,0,48150,20120,509463,16291825619308139881
gate-on,132,335,347,0,34,0,75330,11340,663748,4197812998360357589
gate-off,133,353,308,3,0,57,71450,41570,682295,16011197039848476670
gate-on,133,356,284,3,0,84,101257,12535,646307,6967274823776676732
gate-off,134,247,259,12,10,0,17690,112745,504998,12229043860768230589
gate-on,134,257,237,8,12,32,22960,121746,517920,9413729075427643532
