arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
lifespan-mortality-on,116,0.319324,0.054461,0.084977,48,16,16437209962525975639
lifespan-mortality-on,117,0.356075,-0.021217,0.194948,48,20,15995186245562442002
lifespan-mortality-on,118,0.348800,-0.063921,0.149274,48,16,7734985553938793366
lifespan-mortality-on,119,0.268139,0.048002,0.108259,48,15,6485167532741784304
lifespan-mortality-on,120,0.379129,0.021130,0.169289,48,15,13929719228462886764
lifespan-mortality-on,121,0.290664,0.010836,0.052097,48,11,6398748326267768193
lifespan-mortality-on,122,0.280832,-0.003396,0.176983,48,19,6803435988392948149
lifespan-mortality-on,123,0.331853,-0.083607,0.138077,48,16,1358214166851670195
lifespan-mortality-on,124,0.415924,0.019153,0.179074,48,18,17865834179525676704
lifespan-mortality-on,125,0.309111,-0.154989,0.209918,48,20,9214902167201537259
lifespan-mortality-on,126,0.368920,0.033584,0.122540,48,15,3936606990099079811
lifespan-mortality-on,127,0.315322,0.022483,0.135755,48,19,9153969376659280363
lifespan-mortality-on,128,0.380112,0.003603,0.118286,48,19,13739067141056286861
lifespan-mortality-on,129,0.397799,0.029732,0.134448,48,15,3664643268348476157
lifespan-mortality-on,130,0.322012,0.018507,0.080771,48,12,12394690306955245774
lifespan-mortality-on,131,0.276011,0.035067,0.055187,48,19,7500394519095762508
lifespan-mortality-on,132,0.283425,0.009169,0.072979,48,17,13089772664918567742
lifespan-mortality-on,133,0.361897,0.062935,0.122385,48,16,12746998481962401059
lifespan-mortality-on,134,0.267614,-0.065204,0.070701,48,16,16310124944033273845
lifespan-mortality-on,135,0.335667,0.004389,0.110838,48,15,11495517252844343675
lifespan-mortality-on,136,0.346491,-0.054803,0.163340,48,22,14726116782666537270
lifespan-mortality-on,137,0.314987,-0.003746,0.121899,48,20,14564038807904642654
lifespan-mortality-on,138,0.357496,-0.024586,0.174270,48,19,9566233964318074322
lifespan-mortality-on,139,0.318851,-0.003891,0.081080,48,16,10558728572057007661
lifespan-mortality-on,140,0.339021,0.045187,0.137197,48,23,18332221708252976759
lifespan-mortality-on,141,0.308522,0.045607,0.027865,48,14,2861831706144187139
lifespan-mortality-on,142,0.366511,-0.045229,0.085274,48,15,9943015359242498991
lifespan-mortality-on,143,0.342990,-0.010939,0.141369,48,14,7081351528526171273
lifespan-mortality-on,144,0.326825,0.023212,0.066387,48,14,15948709621951737691
lifespan-mortality-on,145,0.327774,0.009703,0.062781,48,17,13537602516840274740
lifespan-mortality-on,146,0.321275,0.031988,0.096290,48,14,17768886734294702825
lifespan-mortality-on,147,0.345197,-0.008730,0.083303,48,17,10788806712935591064
lifespan-mortality-on,148,0.343747,-0.058262,0.077425,48,15,971803529128339503
lifespan-mortality-on,149,0.286751,-0.002548,0.050056,48,14,7383765691522811661
lifespan-mortality-on,150,0.362653,-0.123444,0.141019,48,19,777549008766356263
lifespan-mortality-on,151,0.303987,0.086751,0.130265,48,14,2935546870567568033
lifespan-mortality-on,152,0.265385,-0.018063,0.053976,48,13,16519853001385343537
lifespan-mortality-on,153,0.367715,-0.017344,0.174883,48,19,3814733875526080155
lifespan-mortality-on,154,0.316312,-0.046845,0.063178,48,17,456485593840692004
lifespan-mortality-on,155,0.415255,-0.068076,0.140754,48,18,17612416333101352679
lifespan-mortality-on,156,0.356712,0.058310,0.190019,48,21,3156352832447346222
lifespan-mortality-on,157,0.277070,-0.015764,0.146887,48,19,5708913851648181417
lifespan-mortality-on,158,0.375246,0.035781,0.133866,48,16,14411502947158242600
lifespan-mortality-on,159,0.298711,0.010371,0.126647,48,18,15370253502153328024
lifespan-mortality-on,160,0.287463,-0.017857,0.055825,48,15,982208285378533483
lifespan-mortality-on,161,0.309320,-0.009749,0.059599,48,17,7962191408582966167
growth-nutrient-off,42,0.328105,0.126096,0.116410,48,22,14450486856413500658
growth-nutrient-off,43,0.371519,0.033890,0.110256,48,17,4403442388763259356
growth-nutrient-off,44,0.349477,0.025579,0.097678,48,19,5708729722492687995
growth-nutrient-off,45,0.338892,-0.031543,0.132951,48,16,2398932645268096893
growth-nutrient-off,46,0.289081,-0.026563,0.149589,48,19,894898335275684160
growth-nutrient-off,47,0.386866,-0.027644,0.202295,48,19,11600089320388656005
growth-nutrient-off,48,0.319750,-0.207411,0.130469,48,19,2756639870796135006
growth-nutrient-off,49,0.301821,-0.026236,0.151359,48,17,1108682457166246364
growth-nutrient-off,50,0.305284,-0.011449,0.071444,48,14,469824690948199218
