schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-on,53,429413585171385789,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,55,1325008315003197534,24,0,0.5934,7.1722,0.5296,0.5128,0.5356,0.4924,0.4975,0.4959,0.5215,0.5201,0.5602,0.5129,0.5004,0.4930,0.4971,0.5115
slope-on,58,476286742892355213,175,0,0.3176,16.7737,0.4397,0.4930,0.6164,0.4643,0.5085,0.5582,0.5107,0.5204,0.4597,0.5181,0.5041,0.5210,0.5021,0.4448
slope-on,69,14918361021774522509,286,0,0.5602,2.9145,0.4107,0.5700,0.4872,0.4854,0.5178,0.4992,0.4645,0.4298,0.5214,0.5697,0.4404,0.4824,0.4279,0.4581
slope-on,74,12877264416443275040,362,0,0.6539,0.8337,0.2155,0.5023,0.5137,0.4439,0.5028,0.4832,0.5091,0.4756,0.4901,0.5472,0.4959,0.5740,0.4364,0.5265
slope-on,80,14792768124915028329,240,0,0.5661,12.0255,0.8740,0.4940,0.4650,0.5531,0.5490,0.4984,0.5049,0.4872,0.5176,0.5304,0.5042,0.5642,0.5439,0.5472
slope-on,98,281660839928868821,350,0,0.5430,3.3083,0.2883,0.4877,0.5009,0.4749,0.4474,0.5763,0.4769,0.4677,0.5148,0.4960,0.4671,0.5240,0.5452,0.4698
slope-on,101,5519296184515312710,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,107,6647624456185636586,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,114,17088115823561879591,176,0,0.5919,22.2194,0.4105,0.5006,0.4870,0.4875,0.4592,0.4640,0.4766,0.5190,0.5040,0.5702,0.4660,0.5277,0.4412,0.5517
slope-on,118,6024185544482312845,210,0,0.6525,7.2480,0.3017,0.4536,0.5301,0.4658,0.4821,0.4963,0.4629,0.4910,0.5448,0.5576,0.4444,0.3791,0.5403,0.4558
slope-on,120,11016001562125312696,370,0,0.5739,1.2797,0.2244,0.5152,0.5126,0.5286,0.5469,0.4925,0.5535,0.5094,0.5689,0.5560,0.5086,0.4637,0.4374,0.5086
slope-on,128,4169089502302987807,86,0,0.6374,10.8412,0.5262,0.5147,0.4922,0.5453,0.4365,0.4691,0.5349,0.4842,0.5135,0.4996,0.4803,0.5144,0.4140,0.5246
slope-on,135,365349034976383213,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,147,74248855328416001,384,0,0.2221,9.7745,0.3153,0.5186,0.4728,0.5040,0.5494,0.4836,0.4689,0.5029,0.5099,0.5278,0.4882,0.4868,0.4610,0.5184
