schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=3
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,284,16337917969637075259,20,0,0.7980,0.5900,0.1826,0.3579,0.5775,0.4995,0.3458,0.3714,0.3751,0.7961,0.5623,0.5664,0.4414,0.4356,0.4860,0.5599
slope-off,304,1101665997213199462,56,0,0.7924,11.7519,0.4736,0.6062,0.4766,0.4534,0.4414,0.6044,0.5377,0.7846,0.7678,0.9302,0.4804,0.4561,0.4883,0.4486
slope-off,311,10901087253146774723,176,0,0.7702,2.2562,0.3038,0.5234,0.5324,0.5702,0.4702,0.4938,0.4997,0.6151,0.7301,0.8394,0.4695,0.5125,0.5053,0.4908
slope-off,313,4500749811609664227,76,0,0.7776,12.4366,0.2287,0.5078,0.5889,0.4342,0.6084,0.4977,0.4352,0.6566,0.7265,0.7919,0.5026,0.4750,0.5132,0.5005
slope-off,316,6299178825931618419,110,0,0.8173,20.0712,0.4479,0.4587,0.4297,0.4713,0.4931,0.3511,0.4582,0.6429,0.3555,0.8571,0.4464,0.5056,0.4516,0.4968
slope-off,325,3840614866003492237,31,0,0.7883,0.0000,0.0000,0.5124,0.5788,0.5133,0.6211,0.5014,0.4620,0.2946,0.6429,0.6857,0.4885,0.5207,0.5021,0.4179
slope-off,328,113928120301021601,34,0,0.7931,20.9115,0.3021,0.4311,0.4701,0.5155,0.3910,0.5368,0.4909,0.7209,0.6764,0.7160,0.4922,0.4908,0.5382,0.5383
slope-off,330,10042179506769466434,345,0,0.7913,7.1037,0.5162,0.4268,0.5640,0.4133,0.5212,0.5033,0.4785,0.7367,0.8245,0.8670,0.4818,0.4867,0.4791,0.5029
slope-on,42,4731402368121819744,31,0,0.8089,1.3338,0.6352,0.3113,0.4888,0.3805,0.5856,0.4476,0.6044,0.6250,0.8419,0.8856,0.4904,0.4658,0.4889,0.4774
slope-on,52,7430732542347680392,176,0,0.7765,10.7968,0.5550,0.5071,0.4786,0.4340,0.4635,0.4657,0.5381,0.7368,0.4769,0.9284,0.4711,0.4874,0.4758,0.4904
slope-on,53,1753059473460591392,12,0,0.7586,12.7450,0.4687,0.6120,0.5491,0.4869,0.5740,0.5159,0.6237,0.6125,0.3237,0.8777,0.4720,0.4819,0.5438,0.5158
slope-on,55,1206618165301569566,19,0,0.8070,14.3562,0.5561,0.3117,0.4291,0.4627,0.3879,0.4887,0.6228,0.8868,0.4126,0.7583,0.4217,0.5207,0.4764,0.5365
slope-on,58,9239139866818371096,64,0,0.7541,16.9117,0.4009,0.4980,0.3886,0.4595,0.3835,0.4547,0.6279,0.6093,0.7766,0.8445,0.4861,0.5078,0.5044,0.4963
slope-on,69,2304383485492495092,127,0,0.8041,1.4977,0.3272,0.4712,0.4320,0.4477,0.5113,0.4909,0.3934,0.7348,0.7260,0.7116,0.4853,0.4888,0.4955,0.5276
slope-on,74,14135982896948374664,247,0,0.7602,3.4540,0.4362,0.4989,0.5915,0.5061,0.5302,0.4222,0.5190,0.7004,0.7358,0.7801,0.4497,0.5330,0.4757,0.5147
slope-on,80,1397409681819553091,54,0,0.8024,8.9555,0.9484,0.5131,0.4741,0.4756,0.5735,0.4914,0.5872,0.7400,0.5545,0.6755,0.4669,0.4757,0.5210,0.4867
slope-on,98,16296533093920598322,40,0,0.8312,3.7079,0.3490,0.5803,0.5069,0.4243,0.4544,0.5365,0.4607,0.6616,0.7085,0.5985,0.4834,0.5183,0.5055,0.5020
slope-on,101,17425530064323254127,206,0,0.7840,0.7626,0.1236,0.6431,0.6041,0.5313,0.5820,0.5066,0.4822,0.6805,0.7673,0.8358,0.4545,0.4887,0.5512,0.4737
slope-on,107,4580354341302977144,4,0,0.7930,14.7367,0.7081,0.4426,0.6624,0.5926,0.4127,0.5695,0.3967,0.9976,0.2763,0.9189,0.4251,0.5452,0.4873,0.5595
slope-on,114,5507914563314817697,34,0,0.8089,23.3697,0.3822,0.4396,0.4513,0.5630,0.3886,0.5661,0.5651,0.6857,0.2765,0.5812,0.4198,0.5329,0.4634,0.5363
slope-on,118,16120086372456176443,82,0,0.7829,7.1521,0.3274,0.5120,0.4565,0.5066,0.5355,0.4983,0.5721,0.6153,0.7745,0.4533,0.4442,0.4599,0.4575,0.4807
slope-on,120,4472521324400095723,18,0,0.8057,3.7574,0.9474,0.4790,0.4215,0.5287,0.5327,0.4687,0.4497,0.6769,0.2444,0.6099,0.4735,0.4522,0.5071,0.5580
slope-on,128,16851152798987049408,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,135,5112326848435430841,113,0,0.7977,5.0187,0.2815,0.3137,0.5084,0.4531,0.6067,0.4004,0.5024,0.7448,0.4777,0.7590,0.4936,0.4917,0.5076,0.4858
slope-on,147,15002601387835222528,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,148,12366513178325940134,159,0,0.7846,10.1905,0.3588,0.5281,0.5726,0.4961,0.4726,0.4527,0.5885,0.6681,0.7023,0.7561,0.4798,0.5159,0.4938,0.5092
slope-on,150,15918349456423428849,73,0,0.7954,4.6556,0.4029,0.5238,0.5983,0.5838,0.4313,0.4688,0.3379,0.6889,0.7721,0.7058,0.4384,0.5194,0.4847,0.5127
slope-on,152,3539500667444396671,41,0,0.6768,1.0579,0.1865,0.6125,0.5541,0.5103,0.3387,0.5896,0.5069,0.6526,0.6016,0.8204,0.4729,0.4864,0.4884,0.4641
slope-on,153,16628425051025465999,232,0,0.7731,0.2344,0.0760,0.5696,0.6194,0.5005,0.5196,0.4951,0.5695,0.7526,0.7349,0.6958,0.4752,0.4691,0.4964,0.4852
slope-on,167,17858334738360696058,26,0,0.7961,3.5505,0.2449,0.5058,0.4951,0.4203,0.4132,0.7033,0.3700,0.7955,0.4620,0.7666,0.4413,0.5521,0.4930,0.5096
slope-on,176,5430517815245209089,222,0,0.6333,9.6231,0.3147,0.5252,0.5931,0.4649,0.4419,0.3873,0.4852,0.7523,0.7091,0.6423,0.4369,0.5105,0.5195,0.5224
slope-on,187,16289983444803296328,11,0,0.7626,1.1082,0.1255,0.6322,0.5485,0.5178,0.4613,0.4037,0.4159,0.5841,0.5935,0.5261,0.4967,0.5031,0.5286,0.5093
slope-on,193,2189109881205338117,166,0,0.7864,9.8028,0.7646,0.5295,0.5325,0.6169,0.4794,0.6351,0.4518,0.7460,0.5760,0.8509,0.4386,0.4800,0.5087,0.5120
slope-on,221,13812464176377416816,22,0,0.7797,8.5802,0.5281,0.5404,0.5342,0.5299,0.4652,0.4889,0.4483,0.7570,0.4877,0.7828,0.4766,0.4620,0.4699,0.4842
slope-on,228,743938760757712539,19,0,0.8374,21.3420,0.5998,0.5418,0.5857,0.6676,0.4445,0.3894,0.6860,0.6594,0.8547,0.4503,0.4477,0.5055,0.5475,0.5026
slope-on,229,17944469937606764432,72,0,0.7582,17.4726,0.6494,0.5308,0.4917,0.4012,0.5078,0.4197,0.5293,0.7477,0.5267,0.8758,0.4853,0.5261,0.4508,0.5046
slope-on,238,11693595051016379190,75,0,0.8081,5.5738,0.4476,0.5216,0.4802,0.4165,0.5024,0.3606,0.6417,0.8544,0.9427,0.5035,0.4435,0.4743,0.5051,0.5825
slope-on,243,2788538916909584335,176,0,0.7643,22.1001,0.4860,0.4718,0.4505,0.4991,0.4266,0.5061,0.5224,0.6530,0.9165,0.8005,0.4796,0.5389,0.4703,0.5245
slope-on,262,1131648640834366592,90,0,0.7887,11.3504,0.5841,0.5675,0.5250,0.5389,0.4124,0.6123,0.4949,0.8178,0.5469,0.7770,0.4698,0.4793,0.4994,0.5185
slope-on,283,4922446081447918981,136,0,0.7881,0.3822,0.0742,0.4870,0.5293,0.4651,0.4606,0.6308,0.4582,0.5568,0.5554,0.9609,0.4524,0.4727,0.5108,0.4857
slope-on,284,15382729869871820013,9,0,0.7803,1.1225,0.3521,0.4525,0.3469,0.5252,0.5470,0.3807,0.4528,0.5752,0.3054,0.6488,0.4717,0.5150,0.5458,0.4909
slope-on,304,17082428415637296144,6,0,0.7683,6.3335,0.5995,0.3987,0.5610,0.5224,0.5952,0.4998,0.6485,0.4303,0.3906,0.4631,0.4614,0.5037,0.4033,0.5213
slope-on,311,9265907125949968677,133,0,0.7573,1.2038,0.2328,0.6254,0.5676,0.5020,0.4388,0.4162,0.5488,0.6105,0.7336,0.8394,0.4729,0.5005,0.4891,0.5096
slope-on,313,16966109795450265879,39,0,0.7738,11.8902,0.2043,0.5130,0.5181,0.4553,0.5378,0.3555,0.4736,0.5843,0.6738,0.8867,0.5126,0.4867,0.4816,0.4979
slope-on,316,10493939860532032061,165,0,0.7958,18.3697,0.4955,0.4391,0.4754,0.5773,0.4512,0.5504,0.4524,0.6727,0.6363,0.8035,0.4640,0.5356,0.4754,0.4714
slope-on,325,13929991744870342089,27,0,0.7957,0.6347,0.1081,0.5758,0.5606,0.5399,0.4954,0.4566,0.3739,0.7429,0.6782,0.5792,0.4436,0.5714,0.5048,0.4772
slope-on,328,17889077555554833419,45,0,0.8226,21.3783,0.2429,0.4145,0.5111,0.3984,0.3791,0.5430,0.4738,0.7714,0.7513,0.6072,0.4306,0.5027,0.5240,0.4928
slope-on,330,6153053791193663148,217,0,0.7934,7.2548,0.4856,0.4868,0.5001,0.4819,0.4942,0.5128,0.4681,0.7180,0.5727,0.7952,0.4394,0.5084,0.4781,0.5006
