+arm,seed,mean_occupancy,seedling_resilience_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
invader-24-off,153,0.888664,-0.004585,0.034729,48,14,11856226574773802306
invader-24-off,154,0.902754,0.012498,0.043227,48,13,1321153487785798470
invader-24-off,155,0.902596,0.086905,0.117602,48,16,13292264252990973510
invader-24-off,156,0.889990,0.029759,0.042182,48,16,6001227171241305636
invader-24-off,157,0.887815,0.056846,0.040818,48,13,1959887919994347532
invader-24-off,158,0.908236,-0.111349,0.129187,48,17,3099948102849426744
invader-24-off,159,0.897782,0.108770,0.168282,48,15,17550249353002096745
invader-24-off,160,0.915394,0.016788,0.171063,48,14,6120670824062764704
invader-24-off,161,0.908646,0.005358,0.066476,48,15,17460496993759930483
invader-24-on,42,0.898258,0.043057,0.091687,48,13,1710402926108225703
invader-24-on,43,0.907972,-0.095294,0.073644,48,13,9568992831884518642
invader-24-on,44,0.892441,0.130941,0.020933,48,13,2798149235920502417
invader-24-on,45,0.912005,0.006150,0.165385,48,13,1165360151249658260
invader-24-on,46,0.880480,0.028216,-0.009146,48,18,8261089012430409974
invader-24-on,47,0.916495,0.019452,0.133747,48,15,3803991772831666401
invader-24-on,48,0.900412,0.055702,0.249703,48,16,11777421751475269841
invader-24-on,49,0.882487,-0.032264,0.112810,48,15,8897151858350451332
invader-24-on,50,0.909813,-0.091761,0.001310,48,13,9778042375442624476
invader-24-on,51,0.872269,0.069130,0.034116,48,14,2619377041854367566
invader-24-on,52,0.894495,0.023784,0.048944,48,14,4756081051445749156
invader-24-on,53,0.904921,0.140615,0.041753,48,13,526471797519898445
invader-24-on,54,0.901365,0.039749,0.002317,48,14,7598587481953298769
invader-24-on,55,0.896580,0.036527,0.135304,48,16,17307360885311018035
invader-24-on,56,0.907888,0.041384,0.052389,48,14,3251399098716912459
invader-24-on,57,0.882911,0.100488,0.036665,48,16,15125244344605952563
invader-24-on,58,0.892552,0.001392,0.045421,48,17,5152127225881386633
invader-24-on,59,0.901790,0.093423,0.109693,48,13,5299845611300458739
invader-24-on,60,0.903531,0.078169,0.104592,48,15,6408133665500763580
invader-24-on,61,0.913526,-0.061714,0.101284,48,13,12381792099101448905
invader-24-on,62,0.887135,-0.016536,0.115869,48,18,15834776474278915178
