arm,seed,final_population,births,deaths,founder_deaths,founder_starvation,founder_dehydration,founder_other_deaths,first_founder_death_tick,last_founder_death_tick,stat_starvation_deaths,stat_dehydration_deaths,mean_founder_min_energy_fraction,mean_founder_min_hydration_fraction,mean_founder_mean_energy_fraction,mean_founder_mean_hydration_fraction,mean_founder_travel,mean_distance_to_water,mean_distance_to_food,adult_energy_ok_fraction,adult_hydration_ok_fraction,adult_joint_ok_fraction
ring,49,40,79,43,4,0,0,4,2380,5200,0,0,0.3838,0.5817,0.7403,0.7694,304.9081,4.5672,2.1426,0.6871,0.7151,0.5559
ring,50,0,0,4,4,0,0,4,2340,3870,0,0,0.4375,0.4604,0.6003,0.6533,353.4099,4.7702,2.2591,0.3213,0.3719,0.3213
ring,51,40,43,7,4,0,0,4,2740,5400,0,0,0.4126,0.5166,0.6867,0.7308,364.4263,4.8190,2.2759,0.7354,0.6751,0.5599
ring,52,0,0,4,4,0,0,4,2520,4640,0,0,0.4970,0.5288,0.6563,0.6933,322.2870,4.8241,2.3697,0.5316,0.5482,0.4993
ring,53,39,55,19,4,0,0,4,3100,4390,0,0,0.4170,0.4951,0.6806,0.7317,441.7747,4.8167,2.0384,0.4663,0.6272,0.4104
ring,54,40,66,30,4,0,0,4,2010,5370,0,0,0.4946,0.5494,0.7582,0.7844,197.7972,4.7500,2.3180,0.8657,0.8474,0.7567
ring,55,40,47,11,4,0,0,4,2490,4370,0,0,0.4546,0.5041,0.6613,0.6920,321.3691,4.6446,2.2397,0.6503,0.6737,0.5067
ring,56,40,41,5,4,0,0,4,2240,4820,0,0,0.3861,0.4644,0.6677,0.7018,336.8471,4.5400,2.2497,0.7132,0.7035,0.5639
ring,57,40,48,12,4,0,0,4,2520,3960,0,0,0.4226,0.5276,0.6907,0.7174,331.5363,4.4637,2.3275,0.7608,0.7386,0.6577
ring,58,0,0,4,4,0,0,4,2030,4900,0,0,0.3861,0.4214,0.5806,0.6323,316.4728,4.4727,2.6474,0.2015,0.1664,0.1037
ring,59,40,43,7,4,0,0,4,2510,4600,0,0,0.4199,0.4864,0.6895,0.7330,327.1365,4.7975,2.3085,0.7462,0.7211,0.5959
ring,60,40,73,37,4,0,0,4,2720,4130,0,0,0.4321,0.5213,0.7408,0.7848,344.8701,4.6554,2.1289,0.8711,0.8593,0.7742
ring,61,40,42,6,4,0,0,4,3090,5220,0,0,0.4410,0.5296,0.6715,0.7289,327.2546,4.7908,2.2816,0.7840,0.7607,0.6503
ring,62,40,42,6,4,0,0,4,3270,4070,0,0,0.5491,0.5845,0.7674,0.7949,332.1317,4.6057,2.1971,0.8997,0.8998,0.8228
ring,63,40,66,30,4,0,0,4,2190,4510,0,0,0.3829,0.4851,0.6406,0.6583,329.1784,4.4878,2.3227,0.8445,0.8367,0.7588
ring,64,40,50,14,4,0,0,4,4160,4730,0,0,0.5136,0.5476,0.7621,0.7875,407.0161,4.7108,2.1006,0.8329,0.8138,0.7395
ring,65,0,0,4,4,0,0,4,2640,2940,0,0,0.3989,0.4529,0.6250,0.6860,279.6334,4.8600,2.2808,0.3803,0.3974,0.3312
ring,66,0,1,5,4,0,0,4,2520,5030,0,0,0.4008,0.4569,0.6348,0.6647,411.5070,4.5209,2.4228,0.2572,0.2897,0.2335
ring,67,38,44,8,4,0,0,4,3610,4770,0,0,0.4933,0.5666,0.7100,0.7454,345.5000,4.6562,2.2475,0.8499,0.7971,0.7111
ring,68,0,0,4,4,0,0,4,1850,5220,0,0,0.3225,0.3672,0.5791,0.6491,422.8088,4.8856,2.2172,0.4662,0.5251,0.4234
ring,69,40,45,9,4,0,0,4,3940,4650,0,0,0.4106,0.5014,0.6974,0.7454,398.8890,4.8067,1.8989,0.6937,0.7070,0.5541
ring,70,1,3,6,4,0,0,4,2860,5170,0,0,0.5080,0.5632,0.7085,0.7304,445.8408,4.7317,2.0944,0.4068,0.4518,0.3418
ring,71,0,0,4,4,0,0,4,2580,5330,0,0,0.6373,0.6452,0.7669,0.7872,388.9618,4.6258,2.4461,0.8469,0.8440,0.7914
