arm,seed,hash,occupancy,realized_grazing_pressure,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
contest-on,101,954099829931255126,0.091567464,0.010808815,48,false,false,153,117,52,124,15,0.50000006,0.58501214,0.08501208,0.5,0.62504613,0.12504613,0.5,0.77377695,0.27377695,0.5,0.36224455,-0.13775545,0.49999997,0.43058744,-0.06941253,0.5,0.5741417,0.07414168,0.50000006,0.58145213,0.08145207,0.5,0.6325667,0.13256669,0.5,0.69234633,0.19234633,0.5,0.25308883,-0.24691117,0.49999997,0.4423865,-0.057613462
mortality-off,101,9418505919866078449,0.44122022,0.002052212,48,false,false,139,103,150,151,10,0.50000006,0.57345766,0.0734576,0.5,0.44530156,-0.054698437,0.5,0.52208817,0.02208817,0.5,0.48796916,-0.01203084,0.49999997,0.49277547,-0.0072245,0.5,0.52139974,0.021399736,0.50000006,0.60199726,0.1019972,0.5,0.44612238,-0.053877622,0.5,0.47998643,-0.02001357,0.5,0.43856955,-0.061430454,0.49999997,0.4882172,-0.011782765
base,102,16817346417962758554,0.40749007,0.0018207483,48,false,false,146,110,124,511,18,0.50000006,0.48828456,-0.011715502,0.5,0.47657079,-0.023429215,0.5,0.42174935,-0.07825065,0.5,0.4336612,-0.06633881,0.49999997,0.48598737,-0.014012605,0.5,0.6889738,0.18897378,0.50000006,0.57174516,0.0717451,0.5,0.44314504,-0.056854963,0.5,0.32823366,-0.17176634,0.5,0.44443506,-0.05556494,0.49999997,0.56284326,0.06284329
seedprod-on,102,14672708823851000602,0.39722222,0.0020474072,47,false,false,152,117,126,495,17,0.50000006,0.42737406,-0.072625995,0.5,0.3976241,-0.102375895,0.5,0.46820155,-0.031798452,0.5,0.47773594,-0.022264063,0.49999997,0.6181177,0.11811772,0.5,0.721624,0.22162402,0.50000006,0.44757137,-0.052428693,0.5,0.39011553,-0.10988447,0.5,0.4175205,-0.08247951,0.5,0.4854273,-0.01457271,0.49999997,0.571143,0.071143
contest-on,102,15621979164515982426,0.3453373,0.0019477004,48,false,false,127,91,107,422,18,0.50000006,0.46291915,-0.037080914,0.5,0.37186575,-0.12813425,0.5,0.45001227,-0.049987733,0.5,0.49168125,-0.008318752,0.49999997,0.56484264,0.06484267,0.5,0.686235,0.18623501,0.50000006,0.5146755,0.014675438,0.5,0.38752186,-0.11247814,0.5,0.42506486,-0.07493514,0.5,0.43677878,-0.063221216,0.49999997,0.53184485,0.031844884
mortality-off,102,11987803097767688833,0.5251984,0.0014644763,48,false,false,136,100,162,180,13,0.50000006,0.5733083,0.07330823,0.5,0.36893404,-0.13106596,0.5,0.46528795,-0.034712046,0.5,0.45269525,-0.04730475,0.49999997,0.53039986,0.030399889,0.5,0.6131044,0.1131044,0.50000006,0.55108404,0.051083982,0.5,0.39559555,-0.10440445,0.5,0.43102524,-0.06897476,0.5,0.47099262,-0.029007375,0.49999997,0.51941496,0.019414991
base,103,763124137763003321,0.31051588,0.002421913,48,false,false,160,124,114,413,17,0.50000006,0.6401974,0.14019734,0.5,0.54005533,0.040055335,0.5,0.3810381,-0.1189619,0.5,0.33085385,-0.16914615,0.49999997,0.46970278,-0.03029719,0.5,0.5744698,0.074469805,0.50000006,0.69018996,0.1901899,0.5,0.5419664,0.04196638,0.5,0.3960866,-0.1039134,0.5,0.35053146,-0.14946854,0.49999997,0.48707846,-0.012921512
seedprod-on,103,12051526808958639589,0.32628968,0.0019021918,48,false,false,170,134,103,413,17,0.50000006,0.5996551,0.09965503,0.5,0.72851646,0.22851646,0.5,0.5377318,0.037731826,0.5,0.28251353,-0.21748647,0.49999997,0.4326022,-0.06739777,0.5,0.62390405,0.12390405,0.50000006,0.6283196,0.12831956,0.5,0.63425815,0.13425815,0.5,0.49053714,-0.009462863,0.5,0.2987856,-0.2012144,0.49999997,0.4449747,-0.05502528
contest-on,103,8703010225193795013,0.123611115,0.00065868703,0,true,false,35,47,55,153,15,0.50000006,0.48276028,-0.01723978,0.5,0.8263456,0.32634562,0.5,0.68431985,0.18431985,0.5,0.29896608,-0.20103392,0.49999997,0.3782491,-0.12175086,0.5,0.5624504,0.06245041,0.50000006,0.6004994,0.10049933,0.5,0.7432189,0.2432189,0.5,0.7813367,0.28133672,0.5,0.27146584,-0.22853416,0.49999997,0.31549415,-0.18450582
mortality-off,103,12465333778447480820,0.5092758,0.0013365726,47,false,false,163,128,158,163,13,0.50000006,0.5236718,0.023671746,0.5,0.4913141,-0.008685887,0.5,0.5168596,0.016859591,0.5,0.41167736,-0.08832264,0.49999997,0.49919286,-0.0008071065,0.5,0.52903205,0.029032052,0.50000006,0.55807704,0.058076978,0.5,0.5125903,0.012590289,0.5,0.49890503,-0.0010949671,0.5,0.4107697,-0.0892303,0.49999997,0.4891007,-0.010899276
base,104,6983409545493133019,0.37242064,0.0018867409,48,false,false,161,125,109,468,18,0.50000006,0.44901368,-0.05098638,0.5,0.48225436,-0.017745644,0.5,0.38957673,-0.11042327,0.5,0.49271792,-0.0072820783,0.49999997,0.5209329,0.020932943,0.5,0.67209184,0.17209184,0.50000006,0.42977104,-0.07022902,0.5,0.50137794,0.0013779402,0.5,0.42966905,-0.07033095,0.5,0.46301726,-0.036982745,0.49999997,0.583699,0.08369902
seedprod-on,104,7523121305824717883,0.34022817,0.0020362174,48,false,false,157,121,118,472,17,0.50000006,0.6750765,0.17507643,0.5,0.4876156,-0.012384415,0.5,0.2852456,-0.2147544,0.5,0.41701186,-0.08298814,0.49999997,0.46229428,-0.03770569,0.5,0.6755143,0.17551428,0.50000006,0.61111844,0.111118376,0.5,0.55476326,0.054763258,0.5,0.38883096,-0.11116904,0.5,0.47162667,-0.02837333,0.49999997,0.44599694,-0.05400303
contest-on,104,3721638830286228042,0.39171627,0.002260093,48,false,false,157,121,114,490,21,0.50000006,0.50709426,0.0070942044,0.5,0.3605781,-0.13942191,0.5,0.3186531,-0.1813469,0.5,0.398182,-0.101817995,0.49999997,0.47989678,-0.020103186,0.5,0.73216933,0.23216933,0.50000006,0.53120786,0.0312078,0.5,0.38366595,-0.11633405,0.5,0.45187014,-0.048129857,0.5,0.4846902,-0.015309811,0.49999997,0.55237985,0.052379876
mortality-off,104,13280624372379368574,0.61478174,0.0011950055,48,false,false,147,111,168,179,16,0.50000006,0.64528584,0.14528579,0.5,0.3664747,-0.13352531,0.5,0.3944548,-0.10554519,0.5,0.47645268,-0.023547322,0.49999997,0.50022876,0.00022879243,0.5,0.6270879,0.12708789,0.50000006,0.57423127,0.07423121,0.5,0.36067247,-0.13932753,0.5,0.44209966,-0.05790034,0.5,0.5165592,0.016559184,0.49999997,0.5097577,0.009757727
base,105,13713508932164415617,0.43774801,0.0021112298,48,false,false,146,110,107,592,20,0.50000006,0.6859192,0.18591917,0.5,0.56217575,0.06217575,0.5,0.3825734,-0.117426604,0.5,0.3701212,-0.12987879,0.49999997,0.49428922,-0.005710751,0.5,0.67146325,0.17146325,0.50000006,0.65128917,0.1512891,0.5,0.5161118,0.016111791,0.5,0.39133948,-0.10866052,0.5,0.44731906,-0.05268094,0.49999997,0.45182487,-0.048175097
seedprod-on,105,16131650791567674365,0.38125,0.0022062748,48,false,false,151,115,106,499,20,0.50000006,0.64301515,0.14301509,0.5,0.6397635,0.13976347,0.5,0.3950683,-0.10493171,0.5,0.35074314,-0.14925686,0.49999997,0.40862632,-0.09137365,0.5,0.65645075,0.15645075,0.50000006,0.60771257,0.10771251,0.5,0.7142579,0.2142579,0.5,0.4228169,-0.0771831,0.5,0.36194214,-0.13805786,0.49999997,0.3931294,-0.10687056
contest-on,105,15681873500569149910,0.30997023,0.0027340478,48,false,false,149,113,94,403,18,0.50000006,0.66788703,0.16788697,0.5,0.62542003,0.12542003,0.5,0.3526192,-0.1473808,0.5,0.42684615,-0.07315385,0.49999997,0.4948007,-0.0051992834,0.5,0.667273,0.16727298,0.50000006,0.61608404,0.11608398,0.5,0.6171556,0.11715561,0.5,0.38264722,-0.11735278,0.5,0.40808028,-0.09191972,0.49999997,0.4587252,-0.041274756
mortality-off,105,3733501474567071214,0.55858135,0.001518239,48,false,false,138,102,166,193,13,0.50000006,0.63768727,0.1376872,0.5,0.5354762,0.035476208,0.5,0.4163054,-0.08369461,0.5,0.41380847,-0.086191535,0.49999997,0.4837743,-0.016225666,0.5,0.57421803,0.074218035,0.50000006,0.6437596,0.14375955,0.5,0.55346864,0.053468645,0.5,0.41788262,-0.08211738,0.5,0.48156118,-0.018438816,0.49999997,0.46907035,-0.030929625
base,106,3103682476890038998,0.39623016,0.0021379418,48,false,false,178,142,126,540,17,0.50000006,0.54964393,0.049643874,0.5,0.3761152,-0.1238848,0.5,0.3895126,-0.1104874,0.5,0.54270333,0.04270333,0.49999997,0.59307325,0.09307328,0.5,0.7264887,0.22648871,0.50000006,0.55007005,0.050069988,0.5,0.4103427,-0.08965731,0.5,0.41333187,-0.086668134,0.5,0.46996775,-0.030032247,0.49999997,0.5785178,0.078517824
seedprod-on,106,15826585567808145287,0.40520832,0.0021311787,48,false,false,187,151,133,527,21,0.50000006,0.4685894,-0.031410664,0.5,0.41743758,-0.08256242,0.5,0.4103684,-0.08963159,0.5,0.5210401,0.021040082,0.49999997,0.5783777,0.07837775,0.5,0.72566974,0.22566974,0.50000006,0.50610155,0.006101489,0.5,0.38025343,-0.119746566,0.5,0.47829276,-0.021707237,0.5,0.42592433,-0.07407567,0.49999997,0.6227108,0.122710854
contest-on,106,2873970401412766481,0.3689484,0.0030142823,48,false,false,173,137,123,443,17,0.50000006,0.45019734,-0.04980272,0.5,0.37770283,-0.12229717,0.5,0.42065975,-0.07934025,0.5,0.5318918,0.031891823,0.49999997,0.62212545,0.12212548,0.5,0.79278725,0.29278725,0.50000006,0.4641607,-0.03583935,0.5,0.28703514,-0.21296486,0.5,0.4543497,-0.045650303,0.5,0.46808252,-0.031917483,0.49999997,0.58820194,0.08820197
mortality-off,106,7875665628068080986,0.5257937,0.001460008,48,false,false,175,139,161,172,12,0.50000006,0.49887255,-0.0011275113,0.5,0.41797155,-0.08202845,0.5,0.43277365,-0.06722635,0.5,0.50328285,0.003282845,0.49999997,0.5451934,0.045193404,0.5,0.60881567,0.10881567,0.50000006,0.5104296,0.010429561,0.5,0.4339921,-0.06600791,0.5,0.46080947,-0.03919053,0.5,0.47197026,-0.02802974,0.49999997,0.573559,0.073559016
base,107,11208696614728376057,0.2687004,0.0034662052,47,false,false,148,113,112,385,17,0.50000006,0.6836663,0.18366623,0.5,0.3041284,-0.19587159,0.5,0.47168756,-0.028312445,0.5,0.40952048,-0.09047952,0.49999997,0.57568085,0.07568088,0.5,0.68934596,0.18934596,0.50000006,0.64509,0.14508992,0.5,0.34753695,-0.15246305,0.5,0.28342897,-0.21657103,0.5,0.42590684,-0.07409316,0.49999997,0.42398292,-0.07601705
seedprod-on,107,1330976734635942533,0.30868056,0.0031890029,48,false,false,154,118,123,453,22,0.50000006,0.70416933,0.20416927,0.5,0.31551105,-0.18448895,0.5,0.4364011,-0.0635989,0.5,0.41567072,-0.08432928,0.49999997,0.594483,0.09448305,0.5,0.7367757,0.2367757,0.50000006,0.6544958,0.15449572,0.5,0.33852562,-0.16147438,0.5,0.36384076,-0.13615924,0.5,0.44045264,-0.059547365,0.49999997,0.49279392,-0.0072060525
contest-on,107,16922485658352500425,0.24444444,0.0041511185,48,false,false,169,133,80,323,17,0.50000006,0.6747769,0.17477685,0.5,0.3878245,-0.112175494,0.5,0.4290946,-0.07090539,0.5,0.39465436,-0.10534564,0.49999997,0.554993,0.054993004,0.5,0.63674814,0.13674814,0.50000006,0.6953891,0.19538903,0.5,0.39260766,-0.10739234,0.5,0.34881628,-0.15118372,0.5,0.37131265,-0.12868735,0.49999997,0.51863694,0.018636972
mortality-off,107,12110916315216354011,0.43229166,0.0021453951,48,false,false,137,101,147,155,14,0.50000006,0.642314,0.14231396,0.5,0.392225,-0.107775,0.5,0.46983945,-0.030160546,0.5,0.40458596,-0.09541404,0.49999997,0.52720964,0.02720967,0.5,0.5434715,0.043471515,0.50000006,0.62594384,0.12594378,0.5,0.3823169,-0.11768311,0.5,0.41597992,-0.08402008,0.5,0.42315668,-0.07684332,0.49999997,0.44835714,-0.051642835
base,108,9951048030007365723,0.35233134,0.0025571405,48,false,false,166,130,118,482,17,0.50000006,0.67019516,0.1701951,0.5,0.47838628,-0.021613717,0.5,0.33926025,-0.16073975,0.5,0.46064186,-0.03935814,0.49999997,0.54432076,0.044320792,0.5,0.6817034,0.18170339,0.50000006,0.7391746,0.23917454,0.5,0.4281141,-0.07188591,0.5,0.3629135,-0.13708651,0.5,0.3585769,-0.1414231,0.49999997,0.5505187,0.05051872
seedprod-on,108,7420594180689635962,0.36364087,0.0022018603,48,false,false,161,125,120,504,19,0.50000006,0.6983785,0.19837844,0.5,0.3207999,-0.17920011,0.5,0.36031088,-0.13968912,0.5,0.4641345,-0.035865486,0.49999997,0.5449954,0.044995457,0.5,0.7444242,0.24442422,0.50000006,0.69859093,0.19859087,0.5,0.27174586,-0.22825414,0.5,0.4402935,-0.05970651,0.5,0.40662515,-0.09337485,0.49999997,0.47573626,-0.02426371
contest-on,108,3772310215943905929,0.27638888,0.0034803653,48,false,false,163,127,109,344,16,0.50000006,0.4232876,-0.07671246,0.5,0.40882578,-0.091174215,0.5,0.44999045,-0.05000955,0.5,0.45489788,-0.04510212,0.49999997,0.648178,0.14817801,0.5,0.73384136,0.23384136,0.50000006,0.4464117,-0.05358836,0.5,0.35239252,-0.14760748,0.5,0.42545214,-0.07454786,0.5,0.48455557,-0.015444428,0.49999997,0.56420445,0.064204484
mortality-off,108,8893755765406670182,0.5421131,0.0013957142,47,false,false,157,122,163,168,12,0.50000006,0.6004971,0.10049707,0.5,0.40719664,-0.09280336,0.5,0.44178692,-0.058213085,0.5,0.44578436,-0.05421564,0.49999997,0.56068563,0.060685664,0.5,0.6043234,0.10432339,0.50000006,0.5900453,0.09004521,0.5,0.4368616,-0.063138396,0.5,0.42844072,-0.07155928,0.5,0.4360954,-0.06390461,0.49999997,0.51956403,0.019564062
base,109,16482213908394427897,0.39811507,0.0024761327,48,false,false,165,129,120,539,19,0.50000006,0.62819123,0.12819117,0.5,0.52933764,0.029337645,0.5,0.36221123,-0.13778877,0.5,0.4862661,-0.013733894,0.49999997,0.55877703,0.058777064,0.5,0.70440865,0.20440865,0.50000006,0.7237519,0.22375184,0.5,0.4820752,-0.017924786,0.5,0.280624,-0.219376,0.5,0.50146115,0.0014611483,0.49999997,0.5748644,0.07486442
seedprod-on,109,318655189740276328,0.4467262,0.0020304576,48,false,false,168,132,118,573,19,0.50000006,0.58958834,0.089588284,0.5,0.5145726,0.01457262,0.5,0.5431625,0.043162525,0.5,0.38194528,-0.11805472,0.49999997,0.5311953,0.031195313,0.5,0.650161,0.15016103,0.50000006,0.61019945,0.11019939,0.5,0.47721973,-0.02278027,0.5,0.51580006,0.015800059,0.5,0.36390164,-0.13609836,0.49999997,0.5436667,0.04366675
contest-on,109,9739886374935200647,0.35004961,0.0031330793,48,false,false,158,122,117,456,17,0.50000006,0.60446095,0.104460895,0.5,0.58435875,0.08435875,0.5,0.4284518,-0.07154819,0.5,0.38845098,-0.11154902,0.49999997,0.48164862,-0.018351346,0.5,0.69025624,0.19025624,0.50000006,0.684643,0.18464291,0.5,0.40197915,-0.09802085,0.5,0.29285124,-0.20714876,0.5,0.3703239,-0.1296761,0.49999997,0.5145835,0.014583558
mortality-off,109,5982628530953411657,0.5859623,0.0015400179,47,false,false,171,136,168,181,13,0.50000006,0.6518819,0.15188181,0.5,0.59915584,0.09915584,0.5,0.38967314,-0.11032686,0.5,0.43936902,-0.060630977,0.49999997,0.52446043,0.024460465,0.5,0.60014915,0.100149155,0.50000006,0.60814774,0.10814768,0.5,0.5612855,0.061285496,0.5,0.32423788,-0.17576212,0.5,0.4065265,-0.093473494,0.49999997,0.5188126,0.018812627
base,110,17736845908354450360,0.3782242,0.002095719,48,false,false,148,112,122,493,17,0.50000006,0.573208,0.073207915,0.5,0.4028887,-0.097111315,0.5,0.41017327,-0.08982673,0.5,0.4437181,-0.056281894,0.49999997,0.5173679,0.01736793,0.5,0.69234216,0.19234216,0.50000006,0.59211624,0.09211618,0.5,0.47446942,-0.025530577,0.5,0.4914582,-0.008541793,0.5,0.41285646,-0.08714354,0.49999997,0.48445585,-0.0155441165
seedprod-on,110,8480385427557292913,0.41150793,0.0019066351,48,false,false,152,116,143,523,15,0.50000006,0.2700155,-0.22998455,0.5,0.3204235,-0.17957649,0.5,0.44613183,-0.053868175,0.5,0.6592801,0.15928012,0.49999997,0.59252644,0.092526466,0.5,0.85582495,0.35582495,0.50000006,0.3827247,-0.11727536,0.5,0.354602,-0.14539799,0.5,0.4731808,-0.0268192,0.5,0.5098513,0.009851277,0.49999997,0.5545612,0.054561228
contest-on,110,15100711253145330244,0.42142856,0.0017464068,48,false,false,149,113,139,535,18,0.50000006,0.4646859,-0.035314173,0.5,0.37207395,-0.12792605,0.5,0.41039863,-0.08960137,0.5,0.55017674,0.05017674,0.49999997,0.563738,0.06373802,0.5,0.78552973,0.28552973,0.50000006,0.47416127,-0.025838792,0.5,0.4219279,-0.0780721,0.5,0.42005202,-0.07994798,0.5,0.43503094,-0.06496906,0.49999997,0.58020514,0.08020517
mortality-off,110,16511583811429192375,0.5298115,0.001429202,48,false,false,142,106,162,168,16,0.50000006,0.4863885,-0.013611555,0.5,0.41165516,-0.08834484,0.5,0.47701815,-0.022981852,0.5,0.46919787,-0.03080213,0.49999997,0.5361381,0.036138147,0.5,0.61109775,0.11109775,0.50000006,0.4904708,-0.009529263,0.5,0.4604027,-0.039597303,0.5,0.55378073,0.053780735,0.5,0.4443563,-0.055643708,0.49999997,0.50062907,0.0006290972
base,111,1172845491722389179,0.41641864,0.0023264757,48,false,false,156,120,131,538,18,0.50000006,0.46242878,-0.03757128,0.5,0.43367636,-0.06632364,0.5,0.4148994,-0.08510059,0.5,0.46397823,-0.03602177,0.49999997,0.5340587,0.03405872,0.5,0.7263025,0.2263025,0.50000006,0.47225913,-0.027740926,0.5,0.4327608,-0.067239195,0.5,0.40307507,-0.09692493,0.5,0.53089345,0.030893445,0.49999997,0.6237032,0.12370321
seedprod-on,111,17556418299617354193,0.2561012,0.0033193813,48,false,false,170,134,103,346,18,0.50000006,0.4252464,-0.07475367,0.5,0.3055656,-0.1944344,0.5,0.47245556,-0.027544439,0.5,0.488448,-0.011552006,0.49999997,0.54430854,0.044308573,0.5,0.6776732,0.17767322,0.50000006,0.48601627,-0.013983786,0.5,0.3315829,-0.1684171,0.5,0.37869477,-0.12130523,0.5,0.5625891,0.06258911,0.49999997,0.6641354,0.16413543
contest-on,111,10725009715056212093,0.3826389,0.002065868,48,false,false,160,124,113,485,17,0.50000006,0.5310998,0.031099737,0.5,0.43405133,-0.065948665,0.5,0.52065676,0.020656765,0.5,0.4111542,-0.08884579,0.49999997,0.50732595,0.007325977,0.5,0.67454445,0.17454445,0.50000006,0.5605439,0.060543835,0.5,0.37716573,-0.122834265,0.5,0.4563821,-0.043617904,0.5,0.37880895,-0.121191055,0.49999997,0.539853,0.039853007
mortality-off,111,5220049837175600532,0.5934524,0.0013494389,48,false,false,150,114,166,177,13,0.50000006,0.5484417,0.04844165,0.5,0.44687712,-0.053122878,0.5,0.43416792,-0.06583208,0.5,0.41307577,-0.086924225,0.49999997,0.5262884,0.02628842,0.5,0.6082915,0.10829151,0.50000006,0.5292202,0.029220164,0.5,0.41190112,-0.08809888,0.5,0.40468946,-0.09531054,0.5,0.4652343,-0.03476569,0.49999997,0.5527962,0.052796215
base,112,11326592372136168776,0.45768848,0.0019044346,48,false,false,147,111,128,623,17,0.50000006,0.49031737,-0.009682685,0.5,0.3121023,-0.18789771,0.5,0.47368777,-0.026312232,0.5,0.4438851,-0.056114912,0.49999997,0.5742944,0.07429442,0.5,0.7538986,0.25389862,0.50000006,0.3960608,-0.103939265,0.5,0.4025171,-0.09748289,0.5,0.51222765,0.012227654,0.5,0.4992734,-0.0007266104,0.49999997,0.5017342,0.001734227
seedprod-on,112,4457050785791628175,0.20248017,0.0038714116,48,false,false,151,115,77,258,16,0.50000006,0.5423356,0.04233557,0.5,0.5606683,0.06066829,0.5,0.6606146,0.16061461,0.5,0.60463786,0.10463786,0.49999997,0.43475664,-0.06524333,0.5,0.6636019,0.16360188,0.50000006,0.507585,0.0075849295,0.5,0.48329753,-0.016702473,0.5,0.5406378,0.04063779,0.5,0.6042669,0.10426688,0.49999997,0.3194247,-0.18057528
contest-on,112,5003967879420660707,0.2701389,0.0028575927,48,false,false,131,95,99,359,15,0.50000006,0.63526326,0.1352632,0.5,0.40292367,-0.09707633,0.5,0.33284378,-0.16715622,0.5,0.45665216,-0.043347836,0.49999997,0.48418456,-0.015815407,0.5,0.7220882,0.22208822,0.50000006,0.61958134,0.11958128,0.5,0.41285557,-0.087144434,0.5,0.37725103,-0.12274897,0.5,0.45764673,-0.042353272,0.49999997,0.5197107,0.01971075
mortality-off,112,7471220447284488250,0.5896825,0.001311586,48,false,false,144,108,168,176,15,0.50000006,0.4726795,-0.027320564,0.5,0.36747026,-0.13252974,0.5,0.49314818,-0.006851822,0.5,0.49230868,-0.0076913238,0.49999997,0.53888935,0.03888938,0.5,0.6845654,0.18456542,0.50000006,0.41909796,-0.0809021,0.5,0.42248663,-0.07751337,0.5,0.5253689,0.025368929,0.5,0.49334177,-0.0066582263,0.49999997,0.4995889,-0.00041106343
base,113,18180052690796393670,0.26775795,0.002844913,48,false,false,144,108,92,384,20,0.50000006,0.684661,0.18466091,0.5,0.25759125,-0.24240875,0.5,0.27078876,-0.22921124,0.5,0.553174,0.05317402,0.49999997,0.5958923,0.09589234,0.5,0.70425475,0.20425475,0.50000006,0.5371043,0.03710425,0.5,0.23060475,-0.26939523,0.5,0.27657047,-0.22342953,0.5,0.43100178,-0.06899822,0.49999997,0.6030935,0.103093535
seedprod-on,113,2458070125621672534,0.26661706,0.0027513257,48,false,false,162,126,103,379,18,0.50000006,0.6869518,0.18695176,0.5,0.38763753,-0.112362474,0.5,0.3102961,-0.18970391,0.5,0.51726246,0.017262459,0.49999997,0.5488919,0.04889193,0.5,0.69368845,0.19368845,0.50000006,0.5728879,0.07288784,0.5,0.2827773,-0.21722269,0.5,0.26030672,-0.23969328,0.5,0.43224216,-0.067757845,0.49999997,0.5685686,0.06856862
contest-on,113,5426393388260504062,0.22718254,0.0027670693,48,false,false,147,111,93,304,18,0.50000006,0.6705478,0.17054772,0.5,0.66073495,0.16073495,0.5,0.38573164,-0.11426836,0.5,0.35128927,-0.14871073,0.49999997,0.40183935,-0.098160625,0.5,0.6498949,0.1498949,0.50000006,0.55017823,0.05017817,0.5,0.59501797,0.09501797,0.5,0.25236726,-0.24763274,0.5,0.30659345,-0.19340655,0.49999997,0.4852973,-0.014702678
mortality-off,113,18232105454249920939,0.42103174,0.0012081399,48,false,false,149,113,137,137,15,0.50000006,0.6335032,0.13350314,0.5,0.4433885,-0.056611508,0.5,0.4946291,-0.005370885,0.5,0.46151838,-0.038481623,0.49999997,0.45640585,-0.043594122,0.5,0.56818634,0.06818634,0.50000006,0.5812594,0.08125937,0.5,0.42868724,-0.071312755,0.5,0.45299304,-0.047006965,0.5,0.4410674,-0.058932602,0.49999997,0.49214256,-0.007857412
base,114,12567988510232385942,0.3767361,0.0023350553,48,false,false,168,132,106,509,19,0.50000006,0.69831437,0.19831431,0.5,0.40144846,-0.09855154,0.5,0.42081016,-0.07918984,0.5,0.45850754,-0.041492462,0.49999997,0.46871832,-0.03128165,0.5,0.6567255,0.15672553,0.50000006,0.6941099,0.19410986,0.5,0.36828837,-0.13171163,0.5,0.34698746,-0.15301254,0.5,0.3722368,-0.12776321,0.49999997,0.4610561,-0.038943857
seedprod-on,114,6456767004648625268,0.24186508,0.0038625826,48,false,false,164,128,91,331,16,0.50000006,0.6578181,0.15781802,0.5,0.38976467,-0.11023533,0.5,0.47405586,-0.025944144,0.5,0.46059364,-0.03940636,0.49999997,0.48642254,-0.013577431,0.5,0.62662125,0.12662125,0.50000006,0.6401866,0.14018655,0.5,0.44885015,-0.051149845,0.5,0.37739572,-0.12260428,0.5,0.45843196,-0.04156804,0.49999997,0.45999324,-0.040006727
contest-on,114,8266337844245135324,0.40252978,0.0020002858,48,false,false,173,137,106,499,17,0.50000006,0.59032935,0.09032929,0.5,0.4264116,-0.0735884,0.5,0.40607524,-0.09392476,0.5,0.48336044,-0.01663956,0.49999997,0.48584643,-0.01415354,0.5,0.63266265,0.13266265,0.50000006,0.56155515,0.061555088,0.5,0.44143653,-0.05856347,0.5,0.42286226,-0.07713774,0.5,0.4343661,-0.06563389,0.49999997,0.5370867,0.037086755
mortality-off,114,15289695722194971293,0.50367063,0.0015701337,48,false,false,154,118,155,164,12,0.50000006,0.60153997,0.10153991,0.5,0.45111546,-0.04888454,0.5,0.551771,0.051770985,0.5,0.42065054,-0.07934946,0.49999997,0.4393217,-0.060678273,0.5,0.56135494,0.061354935,0.50000006,0.58462197,0.08462191,0.5,0.45189017,-0.04810983,0.5,0.52611023,0.026110232,0.5,0.44408667,-0.05591333,0.49999997,0.42266998,-0.07732999
base,115,9409473187135046731,0.39325398,0.0022668482,48,false,false,162,126,128,526,17,0.50000006,0.5065116,0.006511569,0.5,0.352037,-0.14796299,0.5,0.46187818,-0.03812182,0.5,0.5042826,0.0042825937,0.49999997,0.5922599,0.09225991,0.5,0.7202684,0.22026843,0.50000006,0.49019325,-0.009806812,0.5,0.38781,-0.11219001,0.5,0.3282884,-0.1717116,0.5,0.48839483,-0.011605173,0.49999997,0.61551714,0.11551717
seedprod-on,115,8342472511673459748,0.38859126,0.0023919246,48,false,false,155,119,134,524,16,0.50000006,0.5186612,0.018661141,0.5,0.32044455,-0.17955545,0.5,0.49693042,-0.0030695796,0.5,0.5237779,0.023777902,0.49999997,0.59304124,0.09304127,0.5,0.7156937,0.21569371,0.50000006,0.45156068,-0.048439384,0.5,0.41463795,-0.08536205,0.5,0.36350942,-0.13649058,0.5,0.4561362,-0.043863803,0.49999997,0.60935646,0.10935649
contest-on,115,14579781813441978302,0.18149802,0.004971442,48,false,false,157,121,75,250,18,0.50000006,0.7127376,0.21273756,0.5,0.44840318,-0.05159682,0.5,0.58961356,0.08961356,0.5,0.49133042,-0.008669585,0.49999997,0.43930155,-0.06069842,0.5,0.619729,0.11972898,0.50000006,0.55602,0.05601996,0.5,0.4956406,-0.0043593943,0.5,0.5458411,0.045841098,0.5,0.35182676,-0.14817324,0.49999997,0.43876398,-0.061235994
mortality-off,115,18101689037865717024,0.5108631,0.0016738636,48,false,false,145,109,165,194,14,0.50000006,0.6465259,0.14652586,0.5,0.36948964,-0.13051036,0.5,0.47361228,-0.026387721,0.5,0.44522437,-0.054775625,0.49999997,0.5221856,0.022185653,0.5,0.5975229,0.097522914,0.50000006,0.58591634,0.08591628,0.5,0.3733262,-0.12667379,0.5,0.42003235,-0.07996765,0.5,0.43286085,-0.06713915,0.49999997,0.48655602,-0.013443947
