arm,seed,mean_site_occupancy,seed_production_rate_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
scarce-on,115,0.911220,0.086040,0.088567,48,14,17255130251916274780
scarce-on,116,0.903730,0.007362,0.018245,48,18,4543197316667064571
scarce-on,117,0.891249,0.016988,0.095867,48,18,15542630176052799169
scarce-on,118,0.911302,0.081296,0.117038,48,13,4618254057403435218
scarce-on,119,0.910887,0.019582,0.024162,48,16,11342105376994169123
scarce-on,120,0.895622,-0.007316,-0.005554,48,17,2384451693459828566
scarce-on,121,0.905047,-0.025202,-0.019820,48,13,2650655412906783863
scarce-on,122,0.913801,0.000854,0.079416,48,19,2475810952617196856
scarce-on,123,0.915138,-0.053779,0.075667,48,14,14160746933629025461
scarce-on,124,0.905469,-0.002532,0.153154,48,14,6960916034739250486
scarce-on,125,0.891733,-0.117967,0.077938,48,19,12971035192589737413
scarce-on,126,0.904144,0.028360,0.109491,48,15,13280342188273777854
scarce-on,127,0.924703,0.003280,0.098759,48,16,18016405596426822393
scarce-on,128,0.906518,-0.008142,0.073496,48,17,14250950171833122921
scarce-on,129,0.909783,-0.023011,0.133967,48,18,14222120765906085950
scarce-on,130,0.898665,-0.029811,0.025492,48,16,8613660412261346261
scarce-on,131,0.908783,-0.023538,0.078460,48,14,4564060225116631691
scarce-on,132,0.912408,0.113570,0.016791,48,17,8916149797156039695
scarce-on,133,0.907219,0.022606,-0.008378,48,13,4862296312727741357
scarce-on,134,0.920198,0.142000,0.090222,48,13,9151834133756186434
scarce-on,135,0.901997,-0.070549,0.031388,48,15,1220623852508835028
scarce-on,136,0.909220,0.053450,0.072674,48,15,7166716875271015958
scarce-on,137,0.903883,0.137407,0.111733,48,14,2307648689564555919
scarce-on,138,0.912136,0.018352,0.167707,48,16,360303545716566368
scarce-on,139,0.910814,0.062179,0.131700,48,18,8461627367362012993
scarce-on,140,0.914353,-0.043371,-0.002781,48,17,11270189041595097762
scarce-on,141,0.899285,0.032125,-0.022569,48,15,8540506435600175731
scarce-on,142,0.896217,-0.054420,0.045510,48,14,11335824430811781240
scarce-on,143,0.902007,0.047712,0.039908,48,14,3288585064199276220
scarce-on,144,0.898100,0.010183,0.078231,48,15,374893270127027748
