seed,id,generation,parentId,birthTick,endTick,endReason,lifeTicks,eligibleTicks,births,meanBiomassFraction,growth,seedInvestment,waterEfficiency,nutrition,defense,dispersal,moistureTolerance,temperatureTolerance,nutrientUptake
42,50,8,42,4000,6060,aged,2060,76,1,0.9340,0.46855,0.39992,0.43243,0.62351,0.23568,0.40338,0.31812,0.49959,0.50758
42,51,6,39,4000,6020,aged,2020,34,2,0.9102,0.49931,0.56135,0.45588,0.60098,0.23349,0.53158,0.45084,0.56150,0.48510
42,48,8,41,4020,6080,aged,2060,57,2,0.9420,0.43030,0.47948,0.50498,0.66598,0.32407,0.51695,0.44367,0.40855,0.45720
42,52,5,43,4080,6100,aged,2020,50,2,0.8929,0.49586,0.51271,0.44511,0.61340,0.31182,0.53324,0.55845,0.57816,0.57159
42,49,4,37,4160,4200,takenOver,40,0,0,0.0358,0.50588,0.57826,0.39539,0.70041,0.25460,0.43925,0.56249,0.48965,0.56726
42,53,5,40,4160,6240,aged,2080,74,1,0.9102,0.44481,0.54790,0.59358,0.66042,0.30082,0.55002,0.54017,0.48358,0.52434
42,49,9,47,4200,6100,aged,1900,30,1,0.6927,0.41482,0.50158,0.51235,0.61599,0.34493,0.55577,0.50804,0.39175,0.47699
42,54,9,48,4220,6380,aged,2160,60,2,0.9115,0.39235,0.47450,0.51346,0.69211,0.35868,0.50302,0.40958,0.43125,0.48522
42,55,7,51,4220,6220,aged,2000,72,1,0.9309,0.51302,0.55823,0.46015,0.60145,0.21932,0.53777,0.47920,0.63176,0.44279
42,56,7,44,4280,6320,aged,2040,69,1,0.8787,0.48220,0.46216,0.58560,0.62137,0.41435,0.61476,0.54743,0.35582,0.50668
42,57,6,35,4360,6300,aged,1940,68,1,0.9273,0.55482,0.63023,0.64789,0.61126,0.37931,0.55423,0.61241,0.46749,0.50249
42,58,6,52,4440,6480,aged,2040,60,2,0.8776,0.47687,0.55945,0.43344,0.65822,0.28760,0.52876,0.53269,0.60251,0.57508
42,59,6,53,4600,6580,aged,1980,69,1,0.9173,0.51993,0.56274,0.58066,0.68233,0.31965,0.54763,0.52454,0.47609,0.54633
42,60,7,57,4620,4660,takenOver,40,0,0,0.0980,0.57157,0.60370,0.64852,0.59366,0.37590,0.48561,0.57202,0.42237,0.46869
42,60,5,40,4660,6620,aged,1960,63,2,0.9550,0.51403,0.51418,0.59489,0.59383,0.37345,0.48509,0.58467,0.43492,0.43476
42,61,10,49,4700,4720,takenOver,20,0,0,0.1297,0.36330,0.55942,0.50601,0.59929,0.34181,0.55177,0.45754,0.35636,0.48845
42,61,10,54,4720,6900,aged,2180,83,1,0.9347,0.36731,0.49573,0.50742,0.65496,0.41143,0.51021,0.43327,0.42191,0.53208
42,62,8,56,4820,4900,takenOver,80,0,0,0.1056,0.46137,0.44001,0.58539,0.59562,0.38089,0.57709,0.54246,0.40196,0.53383
42,62,7,44,4900,6900,aged,2000,55,2,0.9531,0.44807,0.50148,0.54649,0.60554,0.37695,0.65428,0.55380,0.36570,0.47519
42,63,7,59,4900,6880,aged,1980,60,2,0.8661,0.53094,0.50217,0.57673,0.70464,0.30370,0.56315,0.54799,0.45557,0.56101
42,64,6,60,4940,7040,aged,2100,58,2,0.9339,0.43047,0.56006,0.64633,0.58576,0.38273,0.48724,0.58753,0.44510,0.45824
42,65,8,55,5000,7020,aged,2020,54,2,0.9284,0.49929,0.56141,0.49835,0.64132,0.23536,0.57739,0.49011,0.64453,0.46094
42,66,9,48,5040,7120,aged,2080,65,2,0.9118,0.44772,0.47072,0.51574,0.59100,0.31935,0.50779,0.43760,0.42292,0.54672
42,67,6,52,5100,7100,aged,2000,70,2,0.9102,0.51566,0.51181,0.44934,0.59943,0.28093,0.52343,0.55908,0.62495,0.61382
42,68,8,62,5120,7180,aged,2060,90,0,0.9101,0.46794,0.53278,0.52935,0.60330,0.34395,0.65457,0.51682,0.40673,0.51980
42,69,9,50,5140,5160,takenOver,20,0,0,0.0597,0.42368,0.39939,0.42241,0.59257,0.24429,0.40197,0.30672,0.43358,0.48515
42,69,7,51,5160,7240,aged,2080,67,2,0.9472,0.43325,0.51809,0.43201,0.58535,0.21174,0.52583,0.44666,0.62208,0.46962
42,70,8,69,5380,7440,aged,2060,55,2,0.9254,0.47124,0.55341,0.43430,0.54545,0.22847,0.53192,0.44801,0.60698,0.50474
42,71,7,67,5600,5640,takenOver,40,0,0,0.1559,0.53263,0.50588,0.38124,0.57950,0.26732,0.53136,0.57030,0.56970,0.59559
42,71,7,58,5640,7660,aged,2020,76,0,0.9546,0.47257,0.56988,0.42700,0.66336,0.35262,0.53802,0.49217,0.61560,0.56105
42,72,10,54,6040,8200,aged,2160,57,2,0.8902,0.38740,0.45128,0.55419,0.66947,0.30645,0.48435,0.42643,0.39590,0.50900
42,73,9,65,6100,6120,takenOver,20,0,0,0.0678,0.51208,0.57936,0.46350,0.65184,0.26055,0.62955,0.49532,0.61259,0.50579
42,73,10,66,6120,8120,aged,2000,54,2,0.9334,0.49235,0.42368,0.48596,0.63089,0.33512,0.58795,0.47078,0.42416,0.52284
42,74,11,61,6140,6160,takenOver,20,0,0,0.0441,0.40492,0.52532,0.50756,0.67927,0.40875,0.54719,0.42944,0.48322,0.51936
42,74,7,64,6160,6360,takenOver,200,0,0,0.1371,0.40704,0.50260,0.61925,0.57637,0.37627,0.49505,0.56537,0.43732,0.40700
42,75,9,70,6180,8240,aged,2060,74,1,0.9164,0.46919,0.58591,0.45962,0.50123,0.20133,0.52778,0.44918,0.65492,0.47962
42,76,8,63,6280,8240,aged,1960,53,2,0.9367,0.54777,0.49336,0.57419,0.72619,0.34164,0.52346,0.56813,0.50319,0.57678
42,77,7,58,6300,8320,aged,2020,88,0,0.9090,0.49724,0.57754,0.46087,0.69825,0.28834,0.53678,0.53025,0.62051,0.57559
42,78,8,62,6340,8540,aged,2200,79,1,0.8999,0.36759,0.58296,0.52017,0.63402,0.38658,0.67399,0.56041,0.32466,0.47301
42,74,11,73,6360,8160,aged,1800,24,3,0.8220,0.48954,0.42102,0.53236,0.68960,0.30823,0.58202,0.46014,0.49748,0.47202
42,79,11,72,6420,8600,aged,2180,79,1,0.9195,0.37957,0.47468,0.54203,0.65851,0.27271,0.47220,0.42236,0.40208,0.53489
42,80,6,60,6420,6440,takenOver,20,0,0,0.0712,0.49658,0.51641,0.59006,0.57276,0.32481,0.45466,0.59212,0.38933,0.41803
42,80,9,76,6440,8360,aged,1920,65,2,0.9450,0.56268,0.48176,0.58963,0.69637,0.36746,0.53789,0.59007,0.49386,0.60239
