terrain,arm,seed,hash,occupancy,population,extinct,no_living_bred_lineage,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-on,46,16582618061565341992,0,0,1,1,412,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,47,5289206075803887729,0,0,1,1,234,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,48,3247616286764021402,0,0,1,1,291,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,49,10150287900833896299,0,0,1,1,197,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,50,940951269354071836,0,0,1,1,314,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,51,1961960188834713557,1,0,1,0,388,26,0.4,0.44524,0.04524,0.44,0.73058,0.29058,0.48,0.42638,-0.05362,0.52,0.56564,0.04564,0.56,0.67221,0.11221,0.6,0.69397,0.09397,0.56667,0.72841,0.16174,0.53333,0.43858,-0.09475,0.5,0.20685,-0.29315,0.46667,0.31236,-0.15431,0.43333,0.47646,0.04313
flat,contest-on,52,11516076842066775518,0,0,1,1,343,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,53,12041566649433165956,0.95833,101,0,0,512,26,0.4,0.62602,0.22602,0.44,0.40256,-0.03744,0.48,0.40466,-0.07534,0.52,0.16295,-0.35705,0.56,0.53728,-0.02272,0.6,0.78506,0.18506,0.56667,0.67444,0.10778,0.53333,0.84853,0.3152,0.5,0.67943,0.17943,0.46667,0.3142,-0.15246,0.43333,0.31581,-0.11752
flat,contest-on,54,17371789541746578708,0.125,69,0,0,385,19,0.4,0.36368,-0.03632,0.44,0.53667,0.09667,0.48,0.55269,0.07269,0.52,0.59931,0.07931,0.56,0.70431,0.14431,0.6,0.62689,0.02689,0.56667,0.6152,0.04854,0.53333,0.58356,0.05023,0.5,0.52787,0.02787,0.46667,0.31955,-0.14712,0.43333,0.34653,-0.08681
flat,contest-on,55,17514008766097273548,0.95833,0,1,0,461,22,0.4,0.47243,0.07243,0.44,0.68023,0.24023,0.48,0.56934,0.08934,0.52,0.63783,0.11783,0.56,0.67858,0.11858,0.6,0.8608,0.2608,0.56667,0.21892,-0.34775,0.53333,0.26126,-0.27207,0.5,0.46413,-0.03587,0.46667,0.54371,0.07704,0.43333,0.3459,-0.08743
