arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
control,78,48,23,15,239,0.50349,0.55647,0.47114,0.40561,0.51234,0.51286,0.61892,0.70119,0.33718,0.43919,0.54717,0.65933,0.53989,0.58250,0.39809,0.30337,0.49617,0.54571,0.55326,0.57623
control,79,48,22,14,240,0.55105,0.41993,0.47101,0.59441,0.49097,0.49132,0.72741,0.72801,0.35835,0.31644,0.55549,0.67268,0.53482,0.46672,0.54684,0.47655,0.55977,0.54194,0.50304,0.49523
control,80,48,22,14,216,0.45749,0.56306,0.46229,0.50928,0.52505,0.54916,0.65348,0.68878,0.29942,0.32225,0.53706,0.69247,0.53539,0.46535,0.50690,0.51459,0.53846,0.62477,0.52138,0.57272
control,81,48,22,17,204,0.54125,0.56598,0.47486,0.55132,0.57267,0.52989,0.72363,0.69365,0.35006,0.28718,0.41610,0.44530,0.52425,0.60820,0.56974,0.51465,0.52210,0.46772,0.42643,0.45395
control,82,48,24,17,227,0.55373,0.50109,0.52022,0.51413,0.55831,0.63962,0.64713,0.64892,0.22150,0.21392,0.48938,0.55433,0.49547,0.55978,0.50880,0.43739,0.57999,0.59419,0.51706,0.44285
control,83,48,21,18,229,0.58435,0.63149,0.54109,0.58316,0.46513,0.42858,0.70964,0.76377,0.31543,0.23305,0.50273,0.65956,0.49019,0.47127,0.49717,0.50065,0.57203,0.66554,0.44867,0.36871
control,84,48,21,16,243,0.52731,0.46991,0.54386,0.56726,0.51477,0.52111,0.69426,0.59911,0.29913,0.22328,0.52987,0.63310,0.52220,0.63387,0.49999,0.40932,0.54366,0.47806,0.48242,0.41819
control,85,48,24,18,215,0.54465,0.52367,0.51398,0.59501,0.54092,0.48611,0.61901,0.64785,0.24020,0.27717,0.51529,0.59988,0.41207,0.44210,0.49283,0.47553,0.52657,0.56372,0.49763,0.54655
control,86,48,21,16,200,0.57084,0.56896,0.46880,0.45541,0.51281,0.58997,0.69297,0.58736,0.27742,0.23133,0.44526,0.53766,0.53646,0.54209,0.44388,0.58742,0.43580,0.39796,0.47334,0.43468
control,87,48,24,15,199,0.54884,0.59242,0.54591,0.63154,0.49152,0.51424,0.69119,0.68885,0.26060,0.20886,0.49340,0.52110,0.49918,0.55469,0.56765,0.57537,0.47174,0.53081,0.48302,0.55377
control,88,48,24,14,224,0.57032,0.53080,0.49023,0.55849,0.43256,0.32406,0.72754,0.85039,0.25685,0.13162,0.55726,0.70743,0.50595,0.34223,0.42019,0.36423,0.40245,0.43033,0.46006,0.45370
control,89,48,22,15,237,0.51436,0.60938,0.51150,0.57790,0.51891,0.60717,0.65276,0.70847,0.30881,0.41833,0.50287,0.63639,0.46065,0.43552,0.45411,0.44051,0.45402,0.54182,0.51938,0.62348
control,90,48,21,15,208,0.61058,0.57340,0.46992,0.42552,0.52044,0.46674,0.64060,0.57499,0.34335,0.41065,0.49421,0.45471,0.46357,0.55561,0.39117,0.34790,0.49081,0.62402,0.53858,0.44688
control,91,48,23,14,220,0.50607,0.47425,0.48448,0.62302,0.43367,0.52626,0.66849,0.59654,0.32183,0.25304,0.49189,0.65764,0.52370,0.64683,0.45165,0.39742,0.55859,0.58445,0.53614,0.49410
control,92,48,24,15,206,0.50965,0.51270,0.55844,0.62424,0.48764,0.50398,0.58956,0.63601,0.37691,0.26304,0.45901,0.53736,0.56476,0.48452,0.51100,0.47425,0.56386,0.57166,0.49162,0.51999
control,93,48,24,14,227,0.55257,0.55076,0.52657,0.60180,0.49710,0.63617,0.69029,0.56597,0.24753,0.21687,0.52885,0.73047,0.47579,0.34888,0.57641,0.52159,0.52088,0.54827,0.44132,0.44414
control,94,48,23,17,223,0.54972,0.53078,0.50310,0.55831,0.48029,0.61994,0.69790,0.61612,0.28634,0.20565,0.56283,0.63072,0.50702,0.45238,0.46967,0.29254,0.45812,0.35550,0.44479,0.50000
control,95,48,23,13,210,0.52811,0.46595,0.48966,0.43827,0.51581,0.53171,0.63476,0.59831,0.21292,0.31271,0.47343,0.60209,0.49465,0.55959,0.48102,0.46884,0.43583,0.37654,0.40515,0.33851
control,96,48,23,15,215,0.55353,0.55487,0.54745,0.62764,0.53359,0.52438,0.74292,0.76188,0.29163,0.32157,0.48748,0.48084,0.46527,0.37395,0.51924,0.50397,0.41802,0.35993,0.58216,0.59813
control,97,48,21,18,225,0.48664,0.50278,0.45511,0.46856,0.52309,0.53346,0.71380,0.65970,0.31380,0.27750,0.47709,0.64726,0.42036,0.37131,0.52355,0.46478,0.51892,0.58414,0.53431,0.42632
control,98,48,19,15,173,0.54136,0.53480,0.54231,0.59041,0.47051,0.64401,0.55866,0.66047,0.27527,0.17237,0.43084,0.41878,0.46134,0.46077,0.42881,0.41767,0.52403,0.62392,0.43472,0.36037
control,99,48,24,14,206,0.51721,0.50400,0.46210,0.58290,0.56823,0.57057,0.70475,0.70751,0.26308,0.22569,0.46944,0.53531,0.54425,0.42986,0.54421,0.62657,0.46157,0.46842,0.52910,0.53065
control,100,48,22,15,226,0.55936,0.55715,0.47397,0.52625,0.45409,0.41790,0.64114,0.71145,0.25066,0.19790,0.53684,0.56465,0.45587,0.44688,0.54342,0.60551,0.43075,0.27276,0.55091,0.49736
control,101,48,22,20,211,0.63466,0.55587,0.53963,0.67661,0.52921,0.59346,0.65970,0.63084,0.26628,0.14131,0.49546,0.53993,0.43769,0.57320,0.37919,0.41862,0.48906,0.51334,0.47456,0.38308
control,102,48,22,17,246,0.58341,0.60434,0.53109,0.71328,0.54709,0.75795,0.71454,0.71150,0.31310,0.29856,0.47983,0.64960,0.48333,0.38764,0.50609,0.38167,0.55511,0.27568,0.54544,0.48237
control,103,48,23,15,217,0.55739,0.50733,0.50675,0.61109,0.54298,0.65658,0.60944,0.70014,0.29431,0.24674,0.48893,0.72670,0.50391,0.69532,0.46340,0.45383,0.47078,0.64480,0.45828,0.50427
control,104,48,23,16,252,0.58602,0.60468,0.57475,0.53527,0.46700,0.32551,0.66601,0.67330,0.22954,0.24585,0.53713,0.65084,0.47209,0.55453,0.51916,0.41377,0.43390,0.40023,0.35289,0.45560
control,105,48,20,16,198,0.52718,0.66000,0.55136,0.62680,0.51872,0.63063,0.67141,0.68799,0.27416,0.20257,0.43870,0.53477,0.46821,0.51463,0.56284,0.57301,0.50677,0.62981,0.54135,0.48535
control,106,48,24,19,250,0.56865,0.54610,0.52495,0.61292,0.63060,0.65524,0.72259,0.84480,0.39903,0.17499,0.56670,0.69577,0.48331,0.40637,0.58772,0.53667,0.55597,0.46494,0.43287,0.30757
control,107,48,23,15,222,0.53016,0.49838,0.53653,0.55632,0.58783,0.51340,0.66741,0.63557,0.29829,0.32969,0.51532,0.63143,0.54689,0.44270,0.43594,0.44710,0.50783,0.45000,0.52456,0.53686
control,108,48,23,20,216,0.58408,0.60889,0.55141,0.60138,0.47981,0.48384,0.65434,0.68869,0.29587,0.46951,0.50993,0.57958,0.44793,0.44650,0.46902,0.44264,0.42452,0.50490,0.55071,0.58072
control,109,48,22,15,205,0.45488,0.38237,0.50973,0.53157,0.58209,0.56866,0.64778,0.68262,0.26402,0.26248,0.49184,0.61218,0.50151,0.45621,0.48721,0.36582,0.55903,0.58737,0.52392,0.49827
control,110,48,24,14,207,0.56811,0.58534,0.53071,0.54781,0.47346,0.39059,0.66208,0.67036,0.25333,0.12945,0.52479,0.53534,0.45350,0.41376,0.45835,0.43735,0.47311,0.48054,0.49017,0.43260
control,111,48,23,15,208,0.57535,0.55423,0.54153,0.73621,0.48055,0.52721,0.63357,0.69154,0.27526,0.22957,0.43115,0.50289,0.53568,0.51397,0.44791,0.43061,0.43026,0.48730,0.50576,0.33949
control,112,48,23,16,208,0.53051,0.52502,0.52750,0.62212,0.50070,0.53703,0.72573,0.83827,0.40802,0.36964,0.46664,0.60477,0.56144,0.46717,0.53457,0.52869,0.46531,0.51513,0.45029,0.50318
control,113,48,23,16,233,0.57407,0.69198,0.53700,0.51931,0.49881,0.55788,0.71576,0.70302,0.21443,0.17679,0.48870,0.61417,0.51844,0.38799,0.53956,0.37358,0.51134,0.39556,0.45132,0.44012
control,114,48,21,15,221,0.51387,0.55009,0.47733,0.46663,0.45546,0.60250,0.67513,0.64377,0.28878,0.36608,0.50127,0.54678,0.46358,0.45380,0.48888,0.58929,0.54116,0.61071,0.48263,0.36999
control,115,48,23,17,232,0.58030,0.53067,0.53748,0.70830,0.51290,0.42175,0.61528,0.61904,0.33831,0.24400,0.53044,0.63418,0.50597,0.48326,0.53284,0.50757,0.59012,0.52716,0.42591,0.44750
control,116,48,24,16,215,0.55799,0.52955,0.49181,0.57255,0.55185,0.55503,0.66768,0.64726,0.23018,0.17378,0.44871,0.57579,0.53998,0.72728,0.41214,0.25283,0.46320,0.51243,0.46718,0.34566
control,117,48,24,13,244,0.57871,0.46414,0.48995,0.51354,0.48965,0.51513,0.71359,0.59123,0.28660,0.19884,0.51218,0.63377,0.46375,0.51171,0.59247,0.67117,0.43114,0.56022,0.57099,0.57279
control,118,48,24,15,235,0.57419,0.42110,0.47878,0.45355,0.51193,0.51827,0.64759,0.67278,0.22414,0.17120,0.55685,0.60430,0.53490,0.43996,0.50893,0.67934,0.55677,0.52430,0.48989,0.46086
control,119,48,23,15,212,0.49094,0.41916,0.49460,0.58973,0.48315,0.46671,0.64521,0.68400,0.31652,0.36214,0.48602,0.52551,0.44672,0.50541,0.60718,0.74676,0.56347,0.54797,0.51429,0.53438
control,120,48,22,15,263,0.57657,0.73563,0.54207,0.58966,0.45472,0.35481,0.70011,0.76917,0.29606,0.27987,0.53929,0.67889,0.44563,0.41912,0.45545,0.42191,0.49562,0.53228,0.48342,0.50030
control,121,48,23,14,203,0.47525,0.44071,0.58250,0.59471,0.55598,0.49470,0.66249,0.71876,0.31285,0.35121,0.46621,0.63090,0.46815,0.40260,0.44185,0.52055,0.46601,0.49074,0.48550,0.50982
control,122,48,24,16,218,0.58241,0.47987,0.47544,0.46983,0.49767,0.41036,0.70797,0.68996,0.30376,0.16025,0.51643,0.62029,0.43098,0.43416,0.43239,0.40223,0.49340,0.34543,0.53334,0.57684
control,123,48,22,15,217,0.60782,0.57800,0.50257,0.61565,0.50363,0.43113,0.67153,0.75412,0.36943,0.37934,0.54072,0.60389,0.56153,0.35246,0.56187,0.48865,0.57376,0.41218,0.45329,0.57590
control,124,48,22,17,246,0.55314,0.64158,0.56255,0.55539,0.53989,0.62867,0.64475,0.69704,0.32666,0.28374,0.48007,0.65575,0.44778,0.48068,0.55492,0.49275,0.53742,0.45657,0.43162,0.48412
control,125,48,22,16,225,0.58798,0.63949,0.53402,0.48322,0.46789,0.36513,0.69760,0.57076,0.29982,0.26349,0.48242,0.58460,0.45143,0.50512,0.55446,0.57079,0.49715,0.45134,0.54463,0.45335
control,126,48,23,16,240,0.56295,0.65798,0.45466,0.43618,0.45110,0.59642,0.69580,0.66565,0.30013,0.21621,0.55229,0.67465,0.53659,0.41684,0.49301,0.41930,0.45980,0.53136,0.48453,0.38975
control,127,48,22,15,212,0.58271,0.63524,0.50859,0.60106,0.54531,0.63703,0.55348,0.44954,0.29061,0.36020,0.50394,0.63051,0.53503,0.41294,0.45172,0.37943,0.57063,0.62654,0.50466,0.60905
control,128,48,23,13,221,0.58299,0.57279,0.50820,0.58970,0.46764,0.45878,0.66210,0.62892,0.36369,0.30894,0.46829,0.53936,0.57560,0.66338,0.45625,0.44997,0.45926,0.50371,0.48387,0.50138
control,129,48,23,17,213,0.48308,0.56945,0.54298,0.65542,0.49420,0.74146,0.67506,0.59934,0.35157,0.42717,0.48969,0.56703,0.44105,0.50450,0.54821,0.56308,0.46000,0.23795,0.48509,0.53329
control,130,48,24,16,232,0.45914,0.56782,0.55771,0.57736,0.49589,0.36222,0.58097,0.45560,0.34989,0.40594,0.52599,0.59375,0.51570,0.51165,0.53468,0.61992,0.49435,0.37875,0.47634,0.42686
control,131,48,24,16,257,0.57625,0.57936,0.55031,0.54026,0.53108,0.53741,0.52967,0.48962,0.27487,0.32185,0.55764,0.66473,0.45687,0.45297,0.52621,0.64660,0.48570,0.51309,0.50057,0.51011
control,132,48,21,13,218,0.55995,0.63652,0.42733,0.52284,0.49801,0.52294,0.65345,0.65097,0.36452,0.39627,0.48797,0.63143,0.44582,0.45699,0.49208,0.68213,0.51219,0.50950,0.51035,0.42476
control,133,48,22,15,208,0.58710,0.61417,0.50382,0.48724,0.44418,0.40344,0.57516,0.46320,0.36267,0.37085,0.48898,0.53798,0.49710,0.42949,0.58158,0.62593,0.44227,0.37440,0.46390,0.55020
