arm,seed,hash,final_population,births,deaths,food_consumed,water_consumed,plant_count_final,activations,deactivations,distinct_sites_ever_active,mean_active_food_sites,first_turnover_tick,site_entries,same_site_fraction,cross_kind_legs,pair_repeat_fraction,mean_distinct_pairs,pair_changed_fraction,food_to_water,water_to_food,mean_distinct_sites,mean_speed
shifting,62,16225848760587635414,40,56,20,804.260803,185.750000,8,31,29,18,11.203667,19,1532,0.480418,591,0.570220,3.083333,0.900000,298,293,4.666667,1.904641
shifting-mature,62,2162690552718793524,7,37,34,471.618256,189.375000,10,33,29,18,11.457333,19,1053,0.463438,452,0.573009,3.341463,0.902439,229,223,4.707317,1.985723
shifting-8founders,62,10282476943449142961,0,47,55,559.100708,229.812500,2,21,25,18,8.699333,19,1491,0.601610,473,0.604651,2.890909,0.690909,251,222,4.200000,1.853166
frozen,63,15523910491024298630,0,1,5,112.762779,29.312500,18,12,0,18,17.382000,19,274,0.700730,72,0.750000,2.200000,0.800000,34,38,3.200000,2.264454
shifting,63,2896839727163492986,20,22,6,262.040070,60.562500,12,36,30,18,12.177667,19,511,0.518591,187,0.705882,1.538462,0.538462,92,95,2.730769,1.834520
shifting-mature,63,17019586620472134482,40,67,31,1008.421570,295.562500,8,31,29,18,11.190333,19,1942,0.443872,788,0.470812,4.000000,0.971831,399,389,5.661972,2.068504
shifting-8founders,63,6322126975277590235,0,39,47,474.746277,205.187500,4,21,23,18,8.483000,19,1253,0.588188,397,0.559194,3.106383,0.893617,208,189,4.340426,1.861278
frozen,64,1179270497929939954,40,42,6,531.556641,132.812500,18,12,0,18,17.375333,19,1022,0.538160,377,0.769231,1.456522,0.434783,187,190,2.717391,1.595706
shifting,64,933118149867329186,40,42,6,558.879456,158.000000,10,34,30,18,12.164000,19,1135,0.451101,487,0.622177,3.086957,0.956522,243,244,4.369565,1.681254
shifting-mature,64,12885284315535844041,2,31,33,351.801880,149.375000,10,33,29,18,11.414000,19,1072,0.467351,442,0.576923,3.571429,0.942857,223,219,5.142857,2.003675
shifting-8founders,64,10966636271924596550,0,34,42,364.636169,154.625000,6,27,27,18,10.223333,19,1110,0.565766,383,0.624021,2.857143,0.833333,199,184,4.071429,1.922606
frozen,65,10408287029859966172,0,2,6,125.385765,29.625000,18,12,0,18,17.342000,19,328,0.661585,98,0.887755,1.833333,0.666667,47,51,3.333333,1.952139
shifting,65,80432869446900227,40,42,6,440.371063,99.062500,12,36,30,18,12.321000,19,701,0.490728,267,0.651685,1.695652,0.673913,132,135,3.065217,1.261582
shifting-mature,65,9607541791395717083,0,2,6,126.835983,31.000000,12,37,31,18,12.477667,19,388,0.685567,110,0.836364,2.500000,0.833333,53,57,3.666667,2.019538
shifting-8founders,65,13385412976202451619,3,64,69,695.607788,257.812500,4,25,27,18,9.696333,19,1891,0.544157,666,0.642643,2.750000,0.708333,350,316,4.305556,1.789994
frozen,66,9934501761699300514,0,3,7,162.418274,36.125000,18,12,0,18,17.428667,19,585,0.736752,140,0.814286,2.571429,1.000000,68,72,3.571429,2.288051
shifting,66,18002315321047993974,1,3,6,190.609695,45.937500,12,36,30,18,12.624333,19,456,0.627193,138,0.644928,4.000000,1.000000,67,71,5.428571,2.172616
shifting-mature,66,6376632739854488324,17,49,36,792.393188,247.062500,7,29,28,18,11.046833,19,1790,0.490503,676,0.619822,3.735849,0.943396,350,326,6.094340,2.033082
shifting-8founders,66,17272643438976185405,0,57,65,739.108887,315.812500,3,24,27,18,9.526167,19,1917,0.564424,680,0.645588,3.123077,0.753846,356,324,4.692308,1.995794
frozen,67,14059975964080687995,40,41,5,602.939331,131.562500,18,12,0,18,17.438667,19,1105,0.543891,392,0.729592,1.911111,0.733333,199,193,3.311111,1.470341
shifting,67,6655888324351710362,40,41,5,625.882629,152.812500,12,36,30,18,12.167667,19,1056,0.454545,432,0.583333,2.844444,0.955556,217,215,4.111111,1.441443
shifting-mature,67,13371510927056507568,1,41,44,672.473633,233.750000,9,32,29,18,11.327167,19,1489,0.523842,567,0.682540,3.355556,0.955556,294,273,4.822222,1.529127
shifting-8founders,67,2821943272621865198,15,54,47,694.807373,238.875000,4,24,26,18,9.469667,19,1652,0.548426,569,0.534271,3.467742,0.967742,298,271,4.919355,1.869662
frozen,68,17338067127437625546,0,0,4,73.014809,15.000000,18,12,0,18,17.408667,19,244,0.704918,68,0.926471,1.250000,0.250000,32,36,2.250000,2.456668
