scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
scarcity,69,off,15707272418855174336,0,10,14,72.0508,54.4375,212,212,1.000000,1.000000,2.215774,0.000000,1.499416,0.000000,0.000000
scarcity,69,on,15707272418855174336,0,10,14,72.0314,54.3125,231,231,1.000000,1.000000,2.235715,0.000000,1.494719,0.814106,0.000000
scarcity,70,off,7463993492802362595,0,11,15,81.1218,68.0000,220,220,1.000000,1.000000,2.225618,0.000000,1.559184,0.000000,0.000000
scarcity,70,on,3325009219762232403,0,11,15,81.1029,67.6250,222,222,1.000000,1.000000,2.219625,0.000000,1.569916,0.826363,0.000000
scarcity,71,off,2382988086984769114,0,14,18,83.2275,62.1875,301,301,1.000000,1.000000,2.350210,0.000000,1.601245,0.000000,0.000000
scarcity,71,on,2382988086984769114,0,14,18,83.2439,62.9375,299,299,1.000000,1.000000,2.321368,0.000000,1.600733,0.799314,0.000000
migration,42,off,14624446755318265771,0,2,6,99.6190,25.5625,334,330,0.988024,1.666667,1.404988,0.270316,2.498891,0.000000,0.000000
migration,42,on,2910211682994747292,1,5,8,176.5741,41.5625,719,714,0.993046,1.555556,1.305441,0.293721,2.606552,0.895583,0.259934
migration,43,off,6538256944089391986,40,64,28,870.9097,291.8750,1406,1367,0.972262,1.529412,2.717068,0.160847,1.395092,0.000000,0.000000
migration,43,on,12991601259406512225,40,71,35,878.2736,304.1250,1503,1463,0.973387,1.480000,2.717211,0.174679,1.439471,0.843171,0.140060
migration,44,off,5339613164792049349,0,3,7,79.0530,29.4375,282,280,0.992908,1.285714,1.915335,0.222202,1.756061,0.000000,0.000000
migration,44,on,3901669432453659782,40,43,7,485.6210,133.8750,1163,1136,0.976784,1.574468,1.667226,0.213428,2.055959,0.795476,0.152231
migration,45,off,5618467808012761411,39,84,48,1041.3103,361.7500,1480,1445,0.976351,1.375000,2.590211,0.268885,1.396982,0.000000,0.000000
migration,45,on,336129016673068092,40,83,47,1042.7500,345.7500,1547,1507,0.974144,1.425287,2.674209,0.231088,1.390796,0.854194,0.192981
migration,46,off,2142600241662913679,0,4,8,45.8076,23.6875,156,155,0.993590,1.125000,2.106859,0.024505,1.610672,0.000000,0.000000
migration,46,on,1892531104291335583,0,4,8,32.0331,20.6250,133,133,1.000000,1.000000,1.865965,0.006355,1.762942,0.737004,0.004635
migration,47,off,13580448653743134204,39,65,29,703.4977,239.6875,1216,1182,0.972039,1.463768,2.855355,0.346805,1.692082,0.000000,0.000000
migration,47,on,701255582304842862,24,61,41,522.3138,214.5000,1139,1111,0.975417,1.369231,2.565804,0.135011,1.869660,0.840918,0.109316
migration,48,off,11281963276341998035,40,67,31,861.8771,294.3750,1379,1336,0.968818,1.507042,2.331389,0.224793,1.426673,0.000000,0.000000
migration,48,on,4595340044306189349,40,70,34,842.5786,309.7500,1452,1421,0.978650,1.364865,2.014189,0.223237,1.316969,0.868199,0.166192
migration,49,off,2153660958634229857,40,78,42,1144.0990,373.4375,1434,1393,0.971409,1.463415,2.650754,0.200317,1.349532,0.000000,0.000000
migration,49,on,5569384516605226252,40,79,43,1263.6412,392.2500,1658,1616,0.974668,1.457831,2.627839,0.293170,1.376798,0.860039,0.246629
migration,50,off,10404350330204613059,0,2,6,80.4434,22.0625,183,180,0.983607,1.500000,1.817029,0.200058,1.969461,0.000000,0.000000
migration,50,on,17374789769829738051,0,2,6,80.2749,21.9375,188,185,0.984043,1.500000,2.000905,0.197494,1.955235,0.809561,0.166422
migration,51,off,9430556763709323952,40,76,40,917.6808,292.9375,1299,1269,0.976905,1.325000,2.304877,0.348440,1.525761,0.000000,0.000000
migration,51,on,1481151420062661953,39,65,29,875.5479,298.8750,1063,1024,0.963311,1.550725,2.935553,0.540050,1.325782,0.859847,0.471892
migration,52,off,8153730693660650173,40,44,8,678.1579,240.4375,1321,1276,0.965935,1.895833,2.581633,0.383069,1.435029,0.000000,0.000000
migration,52,on,16827869469857649201,40,64,28,1013.6011,357.1875,1586,1548,0.976040,1.544118,2.524776,0.260356,1.519151,0.872640,0.219905
migration,53,off,10635510679263803689,40,57,21,997.0118,331.0625,1497,1449,0.967936,1.704918,2.765851,0.304496,1.429763,0.000000,0.000000
migration,53,on,18128978299441749940,40,50,14,1011.0803,310.5000,1546,1482,0.958603,1.907407,3.026528,0.380968,1.506135,0.894221,0.330188
migration,54,off,17294502321262477838,40,86,50,929.6113,302.7500,1189,1151,0.968040,1.422222,2.832652,0.211584,1.268648,0.000000,0.000000
migration,54,on,147656664612443559,40,83,47,831.0173,285.5000,1129,1096,0.970771,1.367816,2.718556,0.174013,1.241951,0.812675,0.134291
migration,55,off,13558530433666893726,40,66,30,756.9304,262.0000,1357,1296,0.955048,1.671429,2.862710,0.387701,1.639515,0.000000,0.000000
migration,55,on,17808282341619357668,40,78,42,648.8751,249.2500,1288,1257,0.975932,1.353659,2.196239,0.323181,1.606586,0.799436,0.234776
migration,56,off,1962512037300317879,40,69,33,821.6965,283.8750,1185,1157,0.976371,1.383562,2.523860,0.153850,1.549659,0.000000,0.000000
migration,56,on,5999862120940223522,40,75,39,728.6423,268.2500,1052,1027,0.976236,1.291139,2.423249,0.091252,1.664488,0.790459,0.061520
migration,57,off,11322351975552159269,40,76,40,1224.2509,346.9375,1683,1644,0.976827,1.450000,2.512086,0.374008,1.486214,0.000000,0.000000
migration,57,on,8431116921715731468,40,77,41,1203.0769,335.3125,1829,1791,0.979224,1.432099,2.450885,0.401043,1.504561,0.854312,0.340493
migration,58,off,2471293113560299275,0,6,10,32.0554,21.2500,132,132,1.000000,1.000000,1.719705,0.000617,1.649515,0.000000,0.000000
migration,58,on,2471293113560299275,0,6,10,31.9093,22.8750,146,146,1.000000,1.000000,1.626482,0.000549,1.629841,0.758158,0.000000
migration,59,off,9188421961682776866,40,64,28,1019.3936,329.4375,1381,1342,0.971760,1.529412,2.862073,0.192178,1.397543,0.000000,0.000000
migration,59,on,12393652972944127476,40,74,38,983.9685,366.1250,1410,1375,0.975177,1.448718,2.727052,0.175323,1.386486,0.837886,0.136706
migration,60,off,1743138608450445799,40,73,37,859.9556,349.5000,1282,1247,0.972699,1.441558,2.642334,0.124969,1.417021,0.000000,0.000000
migration,60,on,1651874879091682287,40,73,37,1024.6709,374.0625,1276,1238,0.970219,1.493506,2.856366,0.170492,1.384842,0.851127,0.143647
migration,61,off,3881418489219696248,40,54,18,964.0499,302.5625,1354,1294,0.955687,1.879310,3.235713,0.224093,1.317595,0.000000,0.000000
migration,61,on,6901467443364107729,40,61,25,952.8969,306.6250,1348,1295,0.960682,1.723077,3.198821,0.227589,1.313861,0.877429,0.193153
migration,62,off,16771744157347188774,40,67,31,1047.7316,366.6875,1263,1228,0.972288,1.422535,2.596969,0.137140,1.377496,0.000000,0.000000
migration,62,on,16520775382553465682,40,65,29,1223.6650,391.8125,1371,1336,0.974471,1.478261,2.406151,0.266459,1.280829,0.882443,0.229256
migration,63,off,11716912427736284360,0,3,7,67.5041,31.0625,181,179,0.988950,1.285714,2.131596,0.124936,1.999474,0.000000,0.000000
migration,63,on,11183311764262943046,0,4,8,85.3779,34.8750,260,257,0.988462,1.375000,2.038686,0.186730,2.059056,0.840665,0.163402
migration,64,off,17369466007807344757,20,51,34,595.6070,237.3750,1872,1834,0.979701,1.672727,2.189172,0.174890,1.968637,0.000000,0.000000
migration,64,on,4951005140448268121,28,62,38,560.6708,249.5625,1422,1392,0.978903,1.393939,2.141141,0.121370,1.836477,0.855713,0.095459
migration,65,off,2453054702140475562,40,71,35,914.6061,268.7500,1101,1066,0.968211,1.440000,2.714460,0.697668,1.539528,0.000000,0.000000
migration,65,on,17007164317552608833,40,77,41,897.9852,312.7500,1029,971,0.943635,1.604938,3.217592,0.730512,1.326079,0.825102,0.607346
migration,66,off,3735586698765226735,40,65,29,870.4327,257.5625,1450,1383,0.953793,1.782609,3.290685,0.645501,1.591084,0.000000,0.000000
migration,66,on,96835137558756908,40,78,42,949.6589,304.5000,1654,1611,0.974002,1.500000,2.703278,0.416091,1.668242,0.848486,0.341671
migration,67,off,10596124868242036114,40,70,34,682.9138,238.0625,985,960,0.974619,1.324324,2.555173,0.235062,1.318225,0.000000,0.000000
migration,67,on,17756931753092893254,40,79,43,624.3255,235.7500,973,957,0.983556,1.192771,2.367896,0.240772,1.428636,0.803843,0.169988
migration,68,off,10943760064913646146,40,75,39,802.0607,253.0625,1733,1673,0.965378,1.481013,2.318296,0.311075,2.147024,0.000000,0.000000
migration,68,on,9361709557087224399,3,40,41,406.9708,178.2500,931,899,0.965628,1.636364,2.405294,0.217413,2.096998,0.840744,0.168163
migration,69,off,6438574732507498918,0,3,7,206.6210,52.8750,530,524,0.988679,1.857143,1.462383,0.408303,2.059020,0.000000,0.000000
migration,69,on,437320775815746459,40,71,35,906.1581,311.9375,1199,1166,0.972477,1.360000,2.275311,0.076194,1.066251,0.839636,0.053881
migration,70,off,2467250257143735659,40,63,27,859.6072,338.8750,1181,1140,0.965284,1.567164,2.790261,0.294950,1.392772,0.000000,0.000000
migration,70,on,8871873732647909022,40,60,24,1133.1268,429.5625,1188,1135,0.955387,1.625000,2.476951,0.394936,1.266033,0.879864,0.336734
migration,71,off,1167473190174314508,40,76,40,1014.8881,340.4375,1582,1545,0.976612,1.437500,2.459242,0.445433,1.555169,0.000000,0.000000
migration,71,on,10808686190263457739,40,77,41,1055.6792,346.0625,1487,1438,0.967048,1.518519,2.761061,0.418531,1.428516,0.860481,0.360712
