terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
terrain,contest-on,142,12721762974198437196,0.875,48,0,0,205,14,0.4,0.46161,0.06161,0.44,0.52664,0.08664,0.48,0.52281,0.04281,0.52,0.57162,0.05162,0.56,0.52421,-0.03579,0.6,0.65434,0.05434,0.56667,0.652,0.08534,0.53333,0.44515,-0.08819,0.5,0.52739,0.02739,0.46667,0.37172,-0.09495,0.43333,0.33907,-0.09427
terrain,contest-on,143,1582946162246474884,0.95833,48,0,0,232,17,0.4,0.45095,0.05095,0.44,0.60432,0.16432,0.48,0.55612,0.07612,0.52,0.56549,0.04549,0.56,0.59967,0.03967,0.6,0.83202,0.23202,0.56667,0.63788,0.07121,0.53333,0.30718,-0.22615,0.5,0.37969,-0.12031,0.46667,0.39932,-0.06735,0.43333,0.50974,0.0764
terrain,contest-on,144,3461265366738077789,1,48,0,0,216,14,0.4,0.49177,0.09177,0.44,0.5069,0.0669,0.48,0.505,0.025,0.52,0.51083,-0.00917,0.56,0.54067,-0.01933,0.6,0.6731,0.0731,0.56667,0.71966,0.15299,0.53333,0.33078,-0.20255,0.5,0.37918,-0.12082,0.46667,0.38659,-0.08008,0.43333,0.3445,-0.08883
terrain,contest-on,145,10766404889514388886,0.95833,48,0,0,236,16,0.4,0.62516,0.22516,0.44,0.566,0.126,0.48,0.67749,0.19749,0.52,0.64488,0.12488,0.56,0.59116,0.03116,0.6,0.68421,0.08421,0.56667,0.32894,-0.23772,0.53333,0.4412,-0.09214,0.5,0.40188,-0.09812,0.46667,0.45282,-0.01385,0.43333,0.53899,0.10565
terrain,contest-on,146,8286560609925222632,0.83333,0,1,0,206,12,0.4,0.41191,0.01191,0.44,0.41569,-0.02431,0.48,0.43865,-0.04135,0.52,0.4566,-0.0634,0.56,0.44243,-0.11757,0.6,0.5627,-0.0373,0.56667,0.51475,-0.05191,0.53333,0.65871,0.12538,0.5,0.64465,0.14465,0.46667,0.50721,0.04055,0.43333,0.37175,-0.06159
terrain,contest-on,147,14871557328847876724,1,0,1,0,230,15,0.4,0.45359,0.05359,0.44,0.34658,-0.09342,0.48,0.43666,-0.04334,0.52,0.56338,0.04338,0.56,0.61519,0.05519,0.6,0.81636,0.21636,0.56667,0.52362,-0.04304,0.53333,0.31779,-0.21554,0.5,0.38995,-0.11005,0.46667,0.47249,0.00583,0.43333,0.53429,0.10096
terrain,contest-on,148,964926487042870514,0.95833,48,0,0,216,13,0.4,0.43208,0.03208,0.44,0.47756,0.03756,0.48,0.54104,0.06104,0.52,0.54728,0.02728,0.56,0.52049,-0.03951,0.6,0.64774,0.04774,0.56667,0.54617,-0.0205,0.53333,0.48263,-0.0507,0.5,0.6073,0.1073,0.46667,0.28143,-0.18524,0.43333,0.43532,0.00199
terrain,contest-on,149,13312044527038270341,0.91667,48,0,0,201,16,0.4,0.30147,-0.09853,0.44,0.51233,0.07233,0.48,0.25104,-0.22896,0.52,0.43599,-0.08401,0.56,0.54071,-0.01929,0.6,0.62855,0.02855,0.56667,0.48354,-0.08313,0.53333,0.62491,0.09158,0.5,0.64099,0.14099,0.46667,0.51169,0.04503,0.43333,0.24026,-0.19307
terrain,contest-on,150,4867164734747382755,0.875,0,1,0,185,13,0.4,0.3006,-0.0994,0.44,0.42317,-0.01683,0.48,0.4461,-0.0339,0.52,0.32869,-0.19131,0.56,0.5098,-0.0502,0.6,0.62361,0.02361,0.56667,0.68101,0.11435,0.53333,0.54662,0.01329,0.5,0.52117,0.02117,0.46667,0.71398,0.24732,0.43333,0.38052,-0.05281
terrain,contest-on,151,15667594398267360884,0.875,48,0,0,210,15,0.4,0.44217,0.04217,0.44,0.41466,-0.02534,0.48,0.55801,0.07801,0.52,0.46233,-0.05767,0.56,0.4603,-0.0997,0.6,0.68667,0.08667,0.56667,0.62075,0.05408,0.53333,0.56621,0.03287,0.5,0.63704,0.13704,0.46667,0.54358,0.07691,0.43333,0.36063,-0.07271
