build,arm,seed,hash,final_population,births,deaths,plant_count,plant_births,highest_plant_generation,mean_growth,mean_seed_investment,mean_dispersal,mean_resilience,mean_seed_production,mean_nutrition,mean_defense
pre-fix-15c7a5a,calibration-competition,53,5643989882752960996,48,151,115,23,208,13,0.451750,0.468929,0.622834,0.501923,0.463056,0.731587,0.282765
pre-fix-15c7a5a,calibration-contest,53,8867857704801804988,48,159,123,24,195,17,0.546374,0.518479,0.650161,0.625907,0.644749,0.670128,0.312505
pre-fix-15c7a5a,calibration-competition,54,13565022893649122865,48,144,108,24,223,14,0.445686,0.578916,0.569750,0.574623,0.487623,0.780827,0.404498
pre-fix-15c7a5a,calibration-contest,54,8208444962070023673,47,151,115,24,167,17,0.402591,0.487303,0.503048,0.464624,0.604384,0.668700,0.255740
pre-fix-15c7a5a,calibration-competition,55,7181748866478997001,48,141,105,24,228,17,0.445384,0.494877,0.720815,0.477748,0.393073,0.656972,0.392648
pre-fix-15c7a5a,calibration-contest,55,15242717063558817657,48,149,113,24,185,14,0.571202,0.599438,0.542567,0.530208,0.424312,0.743915,0.166594
pre-fix-15c7a5a,calibration-competition,56,15989192548196744979,48,145,109,24,213,16,0.514434,0.546399,0.625638,0.437086,0.523117,0.562805,0.252896
pre-fix-15c7a5a,calibration-contest,56,8100486822712390051,48,147,111,22,172,20,0.566658,0.476581,0.594854,0.570971,0.559170,0.733389,0.299385
pre-fix-15c7a5a,calibration-competition,57,2921077232125214334,48,142,106,24,223,19,0.653176,0.589196,0.622186,0.594124,0.398614,0.747063,0.127440
pre-fix-15c7a5a,calibration-contest,57,3644992075039406262,48,148,112,22,175,15,0.569672,0.607134,0.570935,0.615997,0.507331,0.628387,0.164785
pre-fix-15c7a5a,calibration-competition,58,4607818490786538372,48,140,104,21,222,14,0.533795,0.570506,0.523916,0.472214,0.549341,0.686823,0.283158
pre-fix-15c7a5a,calibration-contest,58,238300781186914431,48,137,101,23,183,14,0.501039,0.465842,0.535554,0.445918,0.548553,0.729486,0.214116
pre-fix-15c7a5a,calibration-competition,59,17530179927948040531,48,141,105,22,203,17,0.493572,0.522633,0.613154,0.558126,0.495425,0.698200,0.326658
pre-fix-15c7a5a,calibration-contest,59,6742265273980157121,48,140,104,23,167,13,0.575336,0.478955,0.492697,0.564848,0.570160,0.618472,0.300334
pre-fix-15c7a5a,calibration-competition,60,4151651627692129984,48,141,105,24,212,14,0.554677,0.532734,0.511839,0.491021,0.506356,0.641372,0.371060
pre-fix-15c7a5a,calibration-contest,60,17543628937044222040,48,145,109,23,169,14,0.533306,0.531085,0.576007,0.459814,0.618403,0.624834,0.290524
pre-fix-15c7a5a,calibration-competition,61,1324845186245910891,48,132,96,24,221,14,0.507029,0.592563,0.708415,0.526402,0.383527,0.677283,0.183827
pre-fix-15c7a5a,calibration-contest,61,15853570149121048096,48,133,97,24,177,14,0.548351,0.543649,0.539199,0.483397,0.512994,0.630121,0.326756
pre-fix-15c7a5a,calibration-competition,62,9094146711459678060,48,141,105,22,204,16,0.596024,0.548921,0.484738,0.473143,0.426403,0.544920,0.290532
pre-fix-15c7a5a,calibration-contest,62,9763130163010357888,48,147,111,23,177,13,0.541524,0.506120,0.517812,0.534064,0.440789,0.612184,0.190144
pre-fix-15c7a5a,calibration-competition,63,1563891586794793007,48,167,131,22,227,14,0.626263,0.460471,0.593503,0.460918,0.506551,0.710097,0.312602
pre-fix-15c7a5a,calibration-contest,63,10175259589223166574,48,152,116,23,182,15,0.545159,0.438949,0.573453,0.609614,0.509927,0.632579,0.368366
pre-fix-15c7a5a,calibration-competition,64,16097486201195922742,48,148,112,23,206,15,0.495335,0.472272,0.527989,0.518811,0.487822,0.704561,0.261883
pre-fix-15c7a5a,calibration-contest,64,8260051387861143577,48,147,111,21,186,16,0.615248,0.585332,0.544777,0.570458,0.480728,0.605939,0.255209
pre-fix-15c7a5a,calibration-competition,65,15556915193062867064,48,154,118,22,244,15,0.556518,0.509833,0.639098,0.525967,0.444105,0.644926,0.465471
pre-fix-15c7a5a,calibration-contest,65,6410796725270506272,48,159,123,22,190,16,0.562524,0.578227,0.583917,0.566268,0.569559,0.561310,0.438149
pre-fix-15c7a5a,calibration-competition,66,5656199087448555596,48,134,98,23,204,14,0.598927,0.482861,0.493514,0.461986,0.472916,0.687618,0.256527
pre-fix-15c7a5a,calibration-contest,66,14986257478727579758,48,134,98,21,189,18,0.568617,0.357452,0.614106,0.482323,0.584343,0.611793,0.253923
pre-fix-15c7a5a,calibration-competition,67,3201419009114497672,48,141,105,23,236,15,0.586051,0.480649,0.632491,0.425602,0.567338,0.764033,0.278422
pre-fix-15c7a5a,calibration-contest,67,17942379428641980844,48,144,108,20,182,15,0.600373,0.480768,0.603752,0.513527,0.502291,0.528968,0.280147
pre-fix-15c7a5a,calibration-competition,68,793237855459405536,48,135,99,24,207,13,0.383120,0.564752,0.563599,0.397848,0.542430,0.655764,0.271714
pre-fix-15c7a5a,calibration-contest,68,3244688164056860240,48,135,99,22,181,16,0.415964,0.385747,0.529646,0.637981,0.563249,0.667470,0.372319
pre-fix-15c7a5a,calibration-competition,69,7826151497348153763,48,141,105,24,227,16,0.521300,0.534020,0.596289,0.549489,0.509529,0.625544,0.231101
pre-fix-15c7a5a,calibration-contest,69,1236436732937827764,48,160,124,22,188,15,0.530127,0.597747,0.540937,0.568396,0.507867,0.584422,0.311236
pre-fix-15c7a5a,calibration-competition,70,7020214245639768516,48,134,98,24,235,15,0.523965,0.434099,0.568657,0.382905,0.461508,0.584913,0.291518
pre-fix-15c7a5a,calibration-contest,70,8173900833466251829,48,138,102,24,184,16,0.555020,0.543983,0.604549,0.442528,0.583965,0.603648,0.270964
pre-fix-15c7a5a,calibration-competition,71,3661586812402385851,48,135,99,23,217,16,0.595296,0.481901,0.627275,0.422289,0.393524,0.743224,0.448458
pre-fix-15c7a5a,calibration-contest,71,7565087755858042655,48,136,100,23,186,13,0.560609,0.542805,0.635019,0.453891,0.385122,0.686000,0.451818
fixed-9763374,stable,42,10380714861655913604,40,69,33,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,stable-homerange,42,14429269760899139531,40,71,35,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring,42,14782115650560627487,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring-homerange,42,5542583537500788813,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,shifting,42,13368862183588017293,0,1,5,12,36,5,0.484993,0.503190,0.535008,0.482176,0.536043,0.484365,0.507989
fixed-9763374,stable,43,1043068452047798448,40,67,31,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,stable-homerange,43,14702387048293550927,40,67,31,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring,43,7192130097011239283,40,46,10,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring-homerange,43,5620627540893727008,39,43,8,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,shifting,43,9253024022537775065,40,62,26,6,29,5,0.498369,0.494949,0.521551,0.539000,0.486945,0.466388,0.525307
fixed-9763374,stable,44,11527038114098670639,40,70,34,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
