cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen,biomassDispersion
18,67,0.29965,0.11567,-0.18398,0.001539,18,19,0.2149
18,68,0.30951,0.31615,0.00664,0.001477,18,16,0.2302
18,69,0.30286,0.23169,-0.07117,0.001476,18,14,0.2064
18,70,0.30207,0.19284,-0.10924,0.001587,18,13,0.2073
18,71,0.28742,0.03970,-0.24772,0.001323,18,14,0.2173
24,42,0.27620,0.21338,-0.06282,0.002000,24,15,0.2319
24,43,0.29630,0.17085,-0.12546,0.001927,24,15,0.2227
24,44,0.32854,0.19127,-0.13727,0.002174,24,15,0.2099
24,45,0.29815,0.24441,-0.05374,0.001739,24,17,0.1792
24,46,0.29681,0.11974,-0.17708,0.001864,24,16,0.2059
24,47,0.27481,0.30287,0.02806,0.001996,24,16,0.2407
24,48,0.29538,0.09699,-0.19839,0.001822,24,13,0.2183
24,49,0.28272,0.13150,-0.15122,0.002226,24,14,0.2206
24,50,0.33003,0.18177,-0.14825,0.002044,24,17,0.2344
24,51,0.30208,0.11962,-0.18247,0.002043,24,17,0.2067
24,52,0.32676,0.30472,-0.02205,0.002218,24,16,0.2107
24,53,0.33023,0.05740,-0.27283,0.001997,24,14,0.2352
24,54,0.25910,0.11093,-0.14816,0.001875,24,18,0.1923
24,55,0.30582,0.57162,0.26580,0.002333,24,15,0.2157
24,56,0.30997,0.19284,-0.11713,0.002278,24,15,0.1870
24,57,0.32134,0.01732,-0.30402,0.002168,24,12,0.2158
24,58,0.23904,0.47315,0.23412,0.001961,24,14,0.2311
24,59,0.30402,0.21585,-0.08817,0.002150,24,15,0.2229
24,60,0.31075,0.24815,-0.06260,0.002207,24,14,0.2017
24,61,0.32647,0.04219,-0.28428,0.001624,24,16,0.1898
24,62,0.30712,0.28048,-0.02664,0.002212,24,17,0.2581
24,63,0.30716,0.53113,0.22397,0.002535,24,16,0.2326
24,64,0.27809,0.06977,-0.20833,0.001869,24,19,0.1911
24,65,0.30719,0.15680,-0.15039,0.002361,24,17,0.2377
24,66,0.31583,0.02929,-0.28654,0.001828,24,16,0.2164
24,67,0.29965,0.45844,0.15879,0.001984,24,16,0.2125
24,68,0.30951,0.38234,0.07283,0.002247,24,13,0.2500
24,69,0.30286,0.04597,-0.25689,0.002221,24,16,0.1853
24,70,0.30207,0.55141,0.24934,0.002534,24,14,0.2055
24,71,0.28742,0.10752,-0.17990,0.001832,24,17,0.2092
36,42,0.27620,0.70984,0.43364,0.004174,36,16,0.2167
36,43,0.29630,0.30390,0.00759,0.003383,36,14,0.2241
36,44,0.32854,0.30463,-0.02392,0.003067,36,15,0.2336
36,45,0.29815,0.41611,0.11795,0.003119,36,13,0.2370
36,46,0.29681,0.16672,-0.13010,0.002778,36,17,0.2043
36,47,0.27481,0.41579,0.14098,0.003529,36,16,0.2279
