arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
control,44,12,27,32000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,2040099290742897409
control,44,13,27,34666,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,1156513690446650595
control,44,14,27,37333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,405529026916698346
control,44,15,27,40000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,7984923053178989633
control,44,16,27,42666,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,14033575408479398691
control,44,17,27,45333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,17511662572002577706
control,44,18,27,48000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,4135352237713260673
control,44,19,27,50666,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,14525519811961001059
control,44,20,27,53333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,3692365615258843754
control,44,21,27,56000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,9984285268442666945
control,44,22,27,58666,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,16802257213068696227
control,44,23,27,61333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,7743489992219144874
control,44,24,27,64000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,13820937210714670081
control,44,25,27,66666,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,15121084028834763235
control,44,26,27,69333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,8388841808313974250
control,44,27,27,72000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,539192868393730369
control,45,1,27,2666,43,1,0,355,0,0,3,0,0,0,3,20,17,1334.5923,2803.0298,465.5697,1434.8827,0.7862,8128795302396400032
control,45,2,27,5333,67,1,0,355,0,0,33,0,0,0,30,22,20,1458.1879,6071.9995,1612.4858,3433.3096,0.692,17123454713982619134
control,45,3,27,8000,135,1,0,355,0,0,76,0,0,0,43,24,22,1596.6218,9967.834,3523.8774,5278.8286,0.8008,16917208178134199174
control,45,4,27,10666,355,1,0,355,0,0,156,0,0,0,80,22,10,756.4743,15893.5088,8636.8457,6932.2344,0.7492,12491554010345374220
control,45,5,27,13333,9,1,0,355,348,0,249,0,0,348,441,2,0,0.2126,17630.7188,10810.707,7252.144,0.1448,10558935943570166307
control,45,6,27,16000,0,1,0,355,357,0,249,0,0,9,9,0,0,0,17642.8145,10822.2949,7252.938,,4391481060497087179
control,45,7,27,18666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,11267666571177301481
control,45,8,27,21333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,6470614882671230944
control,45,9,27,24000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,2503094663859968651
control,45,10,27,26666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,10831628777257109673
control,45,11,27,29333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,2949734537048425632
control,45,12,27,32000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,17304821114229455179
control,45,13,27,34666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,7432603480560059497
control,45,14,27,37333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,6550718216050762848
control,45,15,27,40000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,13263044561237464843
control,45,16,27,42666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,12940599462874637609
control,45,17,27,45333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,10660442285214777120
control,45,18,27,48000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,6342214527353405899
control,45,19,27,50666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,8868308000123714793
control,45,20,27,53333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,6728485305143776992
control,45,21,27,56000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,13763154755094086027
control,45,22,27,58666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,17955618728127616937
control,45,23,27,61333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,9890809295353865120
control,45,24,27,64000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,11703378338399913035
control,45,25,27,66666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,1359471451648800617
control,45,26,27,69333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,13537927847884757856
control,45,27,27,72000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,11109710308142410251
control,46,1,27,2666,38,1,0,310,0,0,1,0,0,0,1,19,16,1201.8654,2660.8313,456.6954,1434.2722,0.7607,4441152790850637421
control,46,2,27,5333,71,1,0,310,0,0,25,0,0,0,24,23,22,1567.2313,6041.8511,1610.549,3296.042,0.7952,17359265765853734264
control,46,3,27,8000,148,1,0,310,0,0,70,0,0,0,45,23,21,1546.2313,10543.2793,4138.6279,5290.1353,0.7787,6394922779392765112
control,46,4,27,10666,310,1,0,310,0,0,159,0,0,0,89,23,17,1273.2219,18350.6797,10134.3428,7374.001,0.7728,17390061866872637884
control,46,5,27,13333,280,1,0,310,59,0,321,0,0,59,221,6,0,1.3094,24494.2988,16551.25,8370.5693,0.0178,529553257484964088
control,46,6,27,16000,0,1,0,310,304,0,356,0,0,245,280,0,0,0,24598.3223,16650.7383,8376.4834,,17352022577302795619
control,46,7,27,18666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,12187688344645844929
control,46,8,27,21333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,11310736722557176452
control,46,9,27,24000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,10301027906935576227
control,46,10,27,26666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,10442427197998867713
control,46,11,27,29333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,9190177157636009412
control,46,12,27,32000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,9858737881102798563
control,46,13,27,34666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,13598700825730679617
control,46,14,27,37333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,4229975775332490244
control,46,15,27,40000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,3266801544616901667
control,46,16,27,42666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,17448646707820521089
control,46,17,27,45333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,15987501479925907780
control,46,18,27,48000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,12802036254275634787
control,46,19,27,50666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,13540446424189585601
control,46,20,27,53333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,4214022515375617924
control,46,21,27,56000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,18049146718010368931
control,46,22,27,58666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,9658180410537221633
control,46,23,27,61333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,451184571371285188
control,46,24,27,64000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,5027203325198272483
control,46,25,27,66666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,1401574770573844545
control,46,26,27,69333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,16050418482489410820
control,46,27,27,72000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,1217336205276416291
control,47,1,27,2666,34,1,0,390,0,0,3,0,0,0,3,17,14,1024.4694,2528.7817,442.4991,1493.8011,0.5781,5256432244155209504
control,47,2,27,5333,48,1,0,390,0,0,20,3,0,0,20,24,23,1680.5542,5775.293,1239.6134,3287.0818,0.8235,14379528570384974108
control,47,3,27,8000,114,1,0,390,0,0,43,5,0,0,25,23,21,1504.3907,9456.9268,3024.0078,5360.3311,0.7052,5561145951907881939
control,47,4,27,10666,196,1,0,390,0,0,94,9,0,0,55,24,17,1293.8429,14841.4893,6472.373,7506.7725,0.799,1116547314645045085
control,47,5,27,13333,291,1,0,390,1,0,180,10,0,1,88,18,9,736.3297,21591.9004,12016.6201,9271.832,0.5105,6843105890659672187
control,47,6,27,16000,174,1,0,390,112,1,293,11,0,111,226,13,7,544.9648,26672.3145,16816.6406,9741.6758,0.74,11598338808174522373
control,47,7,27,18666,390,1,0,390,114,1,394,11,0,2,103,21,15,1167.431,34100.9453,22177.2148,11187.9082,0.8194,9759345324471070767
control,47,8,27,21333,224,1,0,390,356,2,517,11,0,242,366,6,0,1.5349,40185.6602,28441.0215,12175.8408,0.0472,6104742523117379831
control,47,9,27,24000,0,1,0,390,563,2,534,11,0,207,224,0,0,0,40274.3047,28525.4473,12181.54,,17918654282816075477
control,47,10,27,26666,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,6617286951809736467
control,47,11,27,29333,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,5955951306378259062
control,47,12,27,32000,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,13461599543501738133
control,47,13,27,34666,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,10196234826082110163
control,47,14,27,37333,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,10003351601733396022
control,47,15,27,40000,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,7927491843819801685
control,47,16,27,42666,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,17302938539838694035
control,47,17,27,45333,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,5482261967722907638
control,47,18,27,48000,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,5984873468886068245
control,47,19,27,50666,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,10363931847255576147
control,47,20,27,53333,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,5411559717938426806
control,47,21,27,56000,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,5157228623302815701
control,47,22,27,58666,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,18298600957029477395
control,47,23,27,61333,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,8058818586694824822
control,47,24,27,64000,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,5218711270231257493
control,47,25,27,66666,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,10726478389072472019
control,47,26,27,69333,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,10774487964816090934
control,47,27,27,72000,0,1,0,390,563,2,534,11,0,0,0,0,0,0,40274.3047,28525.4473,12181.54,,366930837841276245
control,48,1,27,2666,39,1,0,370,0,0,2,0,0,0,2,20,17,1273.4894,2756.4688,479.6932,1435.2875,0.8089,6927021895797304218
