schema=1
code_revision=d99b854
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=false
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-on,52,8803029471154780835,95,0,0.5101,5.6217,0.8151,0.4397,0.5629,0.4299,0.4860,0.5919,0.5089,0.5035,0.4971,0.6100,0.5373,0.3906,0.4711,0.0731,0.6315,0.1415,0.1670,0.5171
slope-on,53,11964965704329521403,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,55,14549605007545714684,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,58,953559401563324129,173,0,0.5401,11.6866,0.6599,0.4860,0.6018,0.5053,0.4626,0.5968,0.5746,0.4989,0.4190,0.5282,0.5196,0.5120,0.5204,0.0491,0.5424,0.1888,0.8166,0.4962
slope-on,69,13696843966807804947,212,0,0.7053,3.3015,0.3581,0.5831,0.5058,0.5195,0.5403,0.5313,0.4756,0.4343,0.4655,0.4958,0.4248,0.4590,0.4564,0.2735,0.9297,0.1883,0.2906,0.4989
slope-on,74,15663273429157148459,43,0,0.7362,0.4990,0.1235,0.5261,0.5343,0.4063,0.5472,0.4932,0.5015,0.4723,0.4708,0.4648,0.5228,0.5648,0.4278,0.1405,0.3670,0.1944,0.4612,0.5192
slope-on,80,7457419386801672397,258,0,0.3604,8.6358,0.7522,0.5121,0.4789,0.5935,0.5067,0.4898,0.4952,0.5227,0.4868,0.5245,0.4552,0.4981,0.4840,0.1634,0.8009,0.2819,0.8580,0.5486
slope-on,98,4134987960176705430,499,0,0.7064,3.3281,0.3049,0.5045,0.5304,0.5280,0.4317,0.5088,0.4900,0.5265,0.5032,0.5081,0.5230,0.5765,0.5077,0.1021,0.8613,0.5510,0.1365,0.4841
slope-on,101,17334631578846940386,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,107,17478098643603217960,92,0,0.7378,16.8781,0.5173,0.5105,0.4576,0.5689,0.5023,0.4768,0.5792,0.5091,0.5333,0.4194,0.4924,0.5201,0.4361,0.0870,0.5749,0.7812,0.0354,0.4822
slope-on,114,5489776233732083541,218,0,0.3431,22.9702,0.4241,0.4882,0.5273,0.4939,0.4576,0.4923,0.5041,0.5049,0.5240,0.5623,0.4811,0.5203,0.4172,0.3387,0.8563,0.2836,0.5158,0.5068
