schema=1
code_revision=d99b854
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-on,148,3923900965177833360,271,0,0.6861,11.1843,0.3931,0.5371,0.5041,0.4651,0.4288,0.5290,0.5225,0.4665,0.5139,0.4743,0.4430,0.5403,0.4891,0.1248,0.7965,0.8739,0.5163,0.4701
slope-on,150,18245001225558390283,73,0,0.7402,6.4461,0.4676,0.4147,0.4367,0.5680,0.5448,0.4701,0.4271,0.4181,0.4995,0.5162,0.4045,0.5136,0.4889,0.0914,0.8073,0.5507,0.5135,0.4919
slope-on,152,8627281831208676517,330,0,0.7144,0.8164,0.1995,0.5485,0.4795,0.4995,0.4832,0.4752,0.4967,0.5256,0.5154,0.5040,0.4895,0.4875,0.4963,0.1463,0.7123,0.5663,0.3982,0.5015
slope-on,153,12753571275920432197,71,0,0.6211,0.1750,0.0673,0.5223,0.5332,0.4607,0.4101,0.5462,0.5420,0.5230,0.5401,0.5267,0.5182,0.4868,0.4750,0.3897,0.9060,0.4461,0.5190,0.4314
slope-on,167,9810491228100917838,38,0,0.5872,4.7271,0.3714,0.4558,0.5058,0.5152,0.4545,0.5369,0.4646,0.5317,0.5180,0.5225,0.5053,0.5516,0.4730,0.3590,0.7380,0.4962,0.2768,0.5614
slope-on,176,10685375138486075953,182,0,0.6720,11.0361,0.2839,0.5223,0.5457,0.4908,0.4858,0.4981,0.4910,0.4937,0.5027,0.5213,0.4368,0.5654,0.4918,0.2636,0.8188,0.5378,0.1766,0.4963
slope-on,187,8114806626717362918,8,0,0.7605,1.1477,0.0686,0.5767,0.4873,0.4133,0.4936,0.5433,0.5068,0.5683,0.4635,0.4100,0.5121,0.4563,0.4186,0.3783,0.2885,0.0431,0.2232,0.3941
slope-on,193,6118125138199034063,103,0,0.6710,8.4889,0.7352,0.4970,0.5732,0.5164,0.4675,0.6013,0.5013,0.5350,0.4570,0.4986,0.4208,0.5015,0.4848,0.1890,0.6282,0.4414,0.5250,0.5085
slope-on,221,7878704595359033816,285,0,0.4264,3.8988,0.3724,0.5232,0.5107,0.5113,0.4961,0.4915,0.5082,0.5226,0.4982,0.4990,0.5123,0.4536,0.4739,0.2619,0.6666,0.1925,0.7047,0.5282
slope-on,228,5279859138103768465,410,0,0.6225,22.1129,0.4197,0.4962,0.4856,0.4861,0.5042,0.5183,0.5239,0.5019,0.4846,0.5083,0.4976,0.5202,0.4875,0.2438,0.6525,0.2562,0.3166,0.5159
slope-on,229,15409645353614694299,8,0,0.7020,16.1187,0.4050,0.5859,0.4612,0.4646,0.4462,0.3673,0.5158,0.4499,0.4608,0.4595,0.5570,0.5618,0.4166,0.4514,0.4688,0.8329,0.2038,0.5713
slope-on,238,10465666959402482566,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,243,14654585503143777680,35,0,0.6270,20.1352,0.5441,0.4232,0.5498,0.5207,0.4737,0.5012,0.4514,0.5869,0.5210,0.5391,0.5233,0.4956,0.4549,0.4515,0.4418,0.4627,0.4085,0.5456
