arm,seed,founderMean,finalMean,delta,finalPatches,finalPopulation,plantGenerations
fertilityAdaptation,44,0.3820610046386719,0.4763003036379814,0.09423929899930955,20,48,13
fertilityAdaptation,45,0.5283463795979818,0.4262413162252177,-0.1021050633727641,23,48,16
fertilityAdaptation,46,0.7521342039108276,0.7827200526776521,0.030585848766824464,23,48,14
fertilityAdaptation,47,0.826972077290217,0.7908555398816648,-0.03611653740855225,23,48,16
fertilityAdaptation,48,0.24635499467452368,0.2759087992211183,0.029553804546594592,24,48,19
fertilityAdaptation,49,0.25893983244895935,0.3265053988857703,0.06756556643681094,22,48,14
fertilityAdaptation,50,0.20993350694576898,0.2382506342096762,0.028317127263907227,22,48,15
fertilityAdaptation,51,0.7860384980837504,0.8297168364127477,0.04367833832899737,24,48,16
fertilityAdaptation,52,0.6337338089942932,0.6081542037427425,-0.025579605251550674,24,48,16
fertilityAdaptation,53,0.29200752079486847,0.29367969794706866,0.0016721771522001938,22,48,18
fertilityAdaptation,54,0.332734281818072,0.5098966745038828,0.17716239268581074,24,48,16
fertilityAdaptation,55,0.263152855137984,0.39667933790580084,0.13352648276781687,23,48,14
fertilityAdaptation,56,0.7130719820658366,0.636746927447941,-0.07632505461789552,23,48,16
fertilityAdaptation,57,0.6601426502068838,0.7395382782687312,0.07939562806184741,23,48,17
fertilityAdaptation,58,0.33117752770582837,0.2957621508318445,-0.035415376873983884,23,48,16
fertilityAdaptation,59,0.6283102730909983,0.6595472929378351,0.0312370198468368,24,48,15
fertilityAdaptation,60,0.6740296483039856,0.7376551343047101,0.06362548600072448,23,48,18
fertilityAdaptation,61,0.7614104549090067,0.7422213310545142,-0.019189123854492562,22,48,17
fertilityAdaptation,62,0.5489823818206787,0.6466100933876905,0.09762771156701178,22,48,15
fertilityAdaptation,63,0.6587076882521311,0.6993450211442035,0.040637332892072386,23,48,18
fertilityAdaptation,64,0.6350446542104086,0.5819739777108898,-0.0530706764995188,23,47,16
fertilityAdaptation,65,0.3956620842218399,0.4412981137633324,0.045636029541492484,20,48,20
fertilityAdaptation,66,0.5088470528523127,0.539654498298963,0.03080744544665026,24,48,16
fertilityAdaptation,67,0.34007349113623303,0.28165095850177435,-0.05842253263445868,23,48,14
fertilityAdaptation,68,0.29140061140060425,0.37709910032295046,0.08569848892234622,21,48,14
fertilityAdaptation,69,0.5585380792617798,0.4946286095814271,-0.06390946968035266,22,48,14
fertilityAdaptation,70,0.3360833674669266,0.4715482294559479,0.1354648619890213,24,48,13
fertilityAdaptation,71,0.46232175330320996,0.3006455140809218,-0.16167623922228813,24,48,14
fertilityAdaptation,72,0.7315403421719869,0.8048775479907081,0.07333720581872116,21,48,17
fertilityAdaptation,73,0.3189229716857274,0.2749981789485268,-0.043924792737200624,23,48,14
fertilityAdaptation,74,0.725936641295751,0.7847980998811268,0.058861458585375837,21,48,15
fertilityAdaptation,75,0.33519592384497326,0.3100726514433821,-0.02512327240159118,24,48,14
fertilityAdaptation,76,0.8006427884101868,0.770305001217386,-0.03033778719280078,23,48,14
fertilityAdaptation,77,0.17934821670254072,0.39870885420929303,0.2193606375067523,22,48,12
fertilityAdaptation,78,0.27319960792859393,0.2909662963255592,0.01776668839696527,23,48,17
fertilityAdaptation,79,0.688066840171814,0.6823506951332092,-0.005716145038604736,23,48,14
fertilityAdaptation,80,0.2992214113473892,0.29439522077639896,-0.004826190570990263,24,47,16
fertilityAdaptation,81,0.7933255136013031,0.7606150020252574,-0.03271051157604565,22,48,13
fertilityAdaptation,82,0.3389931470155716,0.339687558511893,0.0006944114963213788,24,48,15
fertilityAdaptation,83,0.4544316232204437,0.4671780864397685,0.012746463219324766,24,48,13
fertilityAdaptation,84,0.6600736379623413,0.5774265138999276,-0.0826471240624137,23,48,16
fertilityAdaptation,85,0.37616389493147534,0.5555346337231722,0.1793707387916969,22,48,16
fertilityAdaptation,86,0.1875732640425364,0.3022920936346054,0.114718829592069,24,48,17
fertilityAdaptation,87,0.5193753391504288,0.4853157351414363,-0.034059604008992495,24,48,16
fertilityAdaptation,88,0.28585663934548694,0.35947164310061414,0.0736150037551272,23,48,14
fertilityAdaptation,89,0.4675550063451131,0.5971331948583777,0.12957818851326458,22,48,16
fertilityAdaptation,90,0.31865885357062024,0.3074834935721897,-0.011175359998430556,21,48,19
fertilityAdaptation,91,0.6694844762484232,0.7360906129082044,0.06660613665978121,24,48,16
fertilityAdaptation,92,0.2463922364016374,0.19907442717389626,-0.04731780922774115,22,48,13
fertilityAdaptation,93,0.4893044133981069,0.618660794063048,0.1293563806649411,22,48,11
fertilityAdaptation,94,0.3607038805882136,0.32928590290248394,-0.03141797768572968,24,48,17
fertilityAdaptation,95,0.47790159781773883,0.4951284735099129,0.01722687569217407,23,48,13
fertilityAdaptation,96,0.7118797600269318,0.8880955601731936,0.17621580014626181,24,48,14
fertilityAdaptation,97,0.4390331854422887,0.41265522137932154,-0.026377964062967163,23,47,17
fertilityAdaptation,98,0.520603542526563,0.517128190268641,-0.0034753522579220597,23,47,16
fertilityAdaptation,99,0.4692913244167964,0.4172832437536933,-0.052008080663103085,22,48,19
fertilityAdaptation,100,0.6117918491363525,0.6901466163496176,0.07835476721326506,24,48,14
fertilityAdaptation,101,0.788138618071874,0.7385784517163816,-0.04956016635549243,23,47,16
fertilityAdaptation,102,0.44113672773043316,0.3708115125244314,-0.07032521520600177,22,48,16
fertilityAdaptation,103,0.594409167766571,0.6354645987351736,0.041055430968602535,24,47,15
fertilityAdaptation,104,0.43928653995196026,0.39234447479248047,-0.046942065159479796,23,47,16
fertilityAdaptation,105,0.4531867057085037,0.3863073838028041,-0.06687932190569962,22,48,16
fertilityAdaptation,106,0.368012472987175,0.33262026648629794,-0.035392206500877044,22,48,16
fertilityAdaptation,107,0.2511128510038058,0.36023042418740014,0.10911757318359433,22,48,16
fertilityAdaptation,108,0.7096289793650309,0.731599413830301,0.02197043446527014,23,48,17
